matrix,n,sym,density_pct,cu,serial,merge3,Auto,Auto_choice,Ocean,HSMU,cnnz
bcsstk18,11948,Y,0.0564,1.092,2.404,0.851,1.352,hash,0.378,1.177,713208
bcsstk19,817,Y,0.5745,0.362,0.233,0.143,0.148,merge3,0.316,0.303,18305
bcsstk20,485,Y,0.7695,0.362,0.214,0.136,0.154,merge3,0.178,0.307,5545
bcsstk21,3600,Y,0.1165,0.505,0.427,0.225,0.197,merge3,0.212,0.327,93072
bcsstk22,138,Y,2.1897,0.403,0.238,0.126,0.127,merge3,0.203,0.297,1552
bcsstk23,3134,Y,0.2459,0.774,1.335,0.401,0.405,merge3,0.339,0.503,220632
bcsstk24,3562,Y,0.6442,1.275,3.164,0.797,0.753,merge3,0.637,0.983,446474
bcsstk25,15439,Y,0.0561,1.219,3.568,1.465,1.758,hash,0.485,1.481,1168919
bcsstk26,1922,Y,0.4366,0.613,1.042,0.218,0.221,merge3,0.349,0.532,92530
bcsstk27,1224,Y,1.914,0.798,2.131,0.443,0.433,merge3,0.496,0.654,138106
bcsstk28,4410,Y,0.5744,1.504,5.263,1.006,1.078,merge3,0.676,1.198,596072
bcsstk29,13992,Y,0.1618,2.985,9.065,2.026,2.581,hash,0.911,1.747,1965686
bcsstk30,28924,Y,0.1239,8.451,88.155,15.983,7.58,hash,2.373,4.69,8946070
bcsstk31,35588,Y,0.048,5.197,19.567,4.312,4.693,hash,1.296,2.793,4713580
bcsstk32,44609,Y,0.0517,8.543,36.566,7.226,7.15,hash,1.828,3.714,6819653
bcsstk33,8738,Y,0.3933,2.977,20.529,3.867,2.9,hash,1.522,1.902,2569536
bcsstm01,48,Y,2.0833,0.395,0.191,0.109,0.137,merge3,0.156,0.284,48
bcsstm02,66,Y,1.5152,0.331,0.171,0.119,0.121,merge3,0.173,0.276,66
bcsstm03,112,Y,0.8929,0.387,0.184,0.113,0.11,merge3,0.176,0.279,112
bcsstm04,132,Y,0.7576,0.347,0.184,0.103,0.107,merge3,0.172,0.292,132
bcsstm05,153,Y,0.6536,0.347,0.191,0.121,0.115,merge3,0.173,0.291,153
bcsstm06,420,Y,0.2381,0.368,0.179,0.127,0.113,merge3,0.175,0.29,420
bcsstm07,420,Y,2.1746,0.462,0.611,0.162,0.184,merge3,0.341,0.347,22972
bcsstm08,1074,Y,0.0931,0.383,0.184,0.113,0.119,merge3,0.172,0.303,1074
bcsstm09,1083,Y,0.0923,0.355,0.196,0.129,0.115,merge3,0.16,0.288,1083
bcsstm10,1086,Y,0.9826,0.466,0.901,0.197,0.221,merge3,0.452,0.359,54504
bcsstm11,1473,Y,0.0679,0.404,0.197,0.123,0.133,merge3,0.174,0.354,1473
bcsstm12,1473,Y,0.487,0.456,0.723,0.186,0.184,merge3,0.331,0.339,53615
bcsstm13,2003,Y,0.2984,0.572,2.774,0.357,0.37,merge3,0.453,0.579,90811
bcsstm19,817,Y,0.1224,0.361,0.195,0.125,0.132,merge3,0.161,0.287,817
bcsstm20,485,Y,0.2062,0.358,0.177,0.11,0.107,merge3,0.166,0.279,485
bcsstm21,3600,Y,0.0278,0.41,0.227,0.157,0.136,merge3,0.165,0.465,3600
bcsstm22,138,Y,0.7246,0.387,0.231,0.111,0.109,merge3,0.16,0.266,138
bcsstm23,3134,Y,0.0319,0.393,0.191,0.147,0.134,merge3,0.169,0.458,3134
bcsstm24,3562,Y,0.0281,0.36,0.187,0.141,0.161,merge3,0.171,0.455,3562
bcsstm25,15439,Y,0.0065,0.388,0.232,0.228,0.365,hash,0.186,0.487,15439
bcsstm26,1922,Y,0.052,0.374,0.198,0.125,0.129,merge3,0.166,0.302,1922
bcsstm27,1224,Y,1.914,0.843,2.161,0.481,0.446,merge3,0.562,0.651,138106
blckhole,2132,Y,0.187,0.468,0.508,0.193,0.187,merge3,0.214,0.464,41546
bp_0,822,N,0.4848,0.377,11.105,0.58,0.493,hash,0.272,0.443,9384
bp_1000,822,N,0.6898,0.38,17.372,0.654,0.529,hash,0.242,0.417,21373
bp_1200,822,N,0.6994,0.373,17.706,0.645,0.562,hash,0.26,0.483,22313
bp_1400,822,N,0.7089,0.378,17.566,0.635,0.602,hash,0.27,0.477,23154
bp_1600,822,N,0.7165,0.395,17.151,0.645,0.543,hash,0.306,0.489,23625
bp_200,822,N,0.5627,0.366,13.813,0.605,0.554,hash,0.253,0.472,13197
bp_400,822,N,0.5961,0.39,15.108,0.649,0.518,hash,0.246,0.465,15238
bp_600,822,N,0.6174,0.337,16.229,0.633,0.534,hash,0.257,0.472,16464
bp_800,822,N,0.671,0.395,16.783,0.656,0.516,hash,0.247,0.461,20224
can_1054,1054,Y,0.5964,0.442,0.817,0.185,0.177,merge3,0.343,0.353,60248
can_1072,1072,Y,0.5881,0.462,1.08,0.199,0.205,merge3,0.366,0.328,62316
can_144,144,Y,3.4722,0.377,0.293,0.13,0.146,merge3,0.332,0.298,3456
can_161,161,Y,2.9667,0.329,0.254,0.141,0.149,merge3,0.295,0.313,3761
can_187,187,Y,2.3993,0.358,0.195,0.112,0.11,merge3,0.321,0.243,3719
can_229,229,Y,1.9126,0.362,0.253,0.156,0.137,merge3,0.251,0.235,5017
can_24,24,Y,15.9722,0.287,0.231,0.122,0.118,merge3,0.168,0.278,336
can_256,256,Y,2.42,0.387,1.843,0.213,0.214,merge3,0.317,0.347,18568
can_268,268,Y,2.3321,0.319,0.672,0.154,0.166,merge3,0.306,0.327,15590
can_292,292,Y,1.6607,0.316,0.477,0.141,0.118,merge3,0.318,0.252,11670
can_445,445,Y,1.0741,0.306,0.269,0.123,0.125,merge3,0.335,0.303,11193
can_61,61,Y,8.3042,0.343,0.341,0.117,0.12,merge3,0.381,0.308,1793
can_62,62,Y,3.642,0.364,0.198,0.137,0.123,merge3,0.169,0.269,482
can_634,634,Y,0.978,0.487,0.432,0.156,0.155,merge3,0.338,0.314,25446
can_715,715,Y,0.7218,0.432,1.748,0.381,0.404,merge3,0.352,0.372,39785
can_73,73,Y,4.2222,0.39,0.27,0.129,0.139,merge3,0.178,0.296,1377
can_838,838,Y,0.7724,0.463,0.757,0.158,0.171,merge3,0.329,0.321,51156
can_96,96,Y,4.6875,0.344,0.22,0.115,0.12,merge3,0.293,0.293,1920
