matrix,n,sym,density_pct,merge3,Auto,Auto_choice,Ocean,HSMU,spECK,cnnz
bcsstm08,1074,Y,0.0931,0.084,0.083,merge3,0.186,0.337,0.08,1074
bcsstm09,1083,Y,0.0923,0.086,0.097,merge3,0.177,0.308,0.078,1083
bcsstm10,1086,Y,0.9826,0.185,0.18,merge3,0.537,0.412,0.092,54504
bcsstm11,1473,Y,0.0679,0.091,0.113,merge3,0.211,0.311,0.079,1473
bcsstm12,1473,Y,0.487,0.163,0.165,merge3,0.379,0.456,0.097,53615
bcsstm13,2003,Y,0.2984,0.363,0.397,hash,0.477,0.76,0.137,90811
bcsstm19,817,Y,0.1224,0.102,0.083,merge3,0.177,0.327,0.077,817
bcsstm20,485,Y,0.2062,0.074,0.104,merge3,0.184,0.332,0.074,485
bcsstm21,3600,Y,0.0278,0.112,0.113,merge3,0.183,0.676,0.084,3600
bcsstm22,138,Y,0.7246,0.091,0.078,merge3,0.197,0.321,0.068,138
bcsstm23,3134,Y,0.0319,0.097,0.104,merge3,0.18,0.646,0.088,3134
bcsstm24,3562,Y,0.0281,0.102,0.1,merge3,0.179,0.677,0.085,3562
bcsstm25,15439,Y,0.0065,0.193,0.183,merge3,0.189,0.5,0.104,15439
bcsstm26,1922,Y,0.052,0.095,0.087,merge3,0.188,0.349,0.078,1922
bcsstm27,1224,Y,1.914,0.373,0.51,hash,0.631,0.789,0.124,138106
blckhole,2132,Y,0.187,0.16,0.177,merge3,0.23,0.674,0.094,41546
bp_0,822,N,0.4848,0.559,0.43,hash,0.255,0.52,0.118,9384
bp_1000,822,N,0.6898,0.651,0.397,hash,0.307,0.524,0.141,21373
bp_1200,822,N,0.6994,0.638,0.457,hash,0.295,0.531,0.132,22313
bp_1400,822,N,0.7089,0.63,0.461,hash,0.31,0.519,0.139,23154
bp_1600,822,N,0.7165,0.632,0.425,hash,0.278,0.545,0.178,23625
bp_200,822,N,0.5627,0.601,0.367,hash,0.3,0.508,0.131,13197
bp_400,822,N,0.5961,0.647,0.402,hash,0.277,0.518,0.129,15238
bp_600,822,N,0.6174,0.631,0.443,hash,0.316,0.52,0.131,16464
bp_800,822,N,0.671,0.655,0.467,hash,0.286,0.543,0.125,20224
can_1054,1054,Y,0.5964,0.169,0.257,merge3,0.394,0.385,0.098,60248
can_1072,1072,Y,0.5881,0.185,0.18,merge3,0.393,0.384,0.098,62316
can_144,144,Y,3.4722,0.104,0.115,merge3,0.383,0.35,0.083,3456
can_161,161,Y,2.9667,0.124,0.126,merge3,0.343,0.365,0.08,3761
can_187,187,Y,2.3993,0.106,0.098,merge3,0.375,0.347,0.077,3719
can_229,229,Y,1.9126,0.134,0.142,merge3,0.339,0.342,0.083,5017
can_24,24,Y,15.9722,0.084,0.092,merge3,0.206,0.329,0.085,336
can_256,256,Y,2.42,0.184,0.206,merge3,0.369,0.395,0.087,18568
can_268,268,Y,2.3321,0.139,0.147,merge3,0.356,0.378,0.083,15590
can_292,292,Y,1.6607,0.119,0.123,merge3,0.394,0.392,0.079,11670
can_445,445,Y,1.0741,0.125,0.116,merge3,0.345,0.353,0.085,11193
can_61,61,Y,8.3042,0.095,0.105,merge3,0.347,0.359,0.078,1793
can_62,62,Y,3.642,0.107,0.099,merge3,0.224,0.332,0.079,482
can_634,634,Y,0.978,0.132,0.136,merge3,0.421,0.375,0.089,25446
can_715,715,Y,0.7218,0.373,0.343,hash,0.396,0.405,0.093,39785
can_73,73,Y,4.2222,0.111,0.11,merge3,0.208,0.359,0.082,1377
can_838,838,Y,0.7724,0.128,0.126,merge3,0.379,0.404,0.089,51156
can_96,96,Y,4.6875,0.095,0.122,merge3,0.328,0.325,0.078,1920
