matrix,n,sym,density_pct,cu,serial,merge3,Auto,Auto_choice,Ocean,HSMU,cnnz
bcsstm12,1473,Y,0.487,0.545,0.795,0.2,0.185,merge3,0.33,0.331,53615
bcsstm13,2003,Y,0.2984,0.54,2.766,0.358,0.388,merge3,0.449,0.564,90811
bcsstm19,817,Y,0.1224,0.374,0.194,0.123,0.117,merge3,0.175,0.292,817
bcsstm20,485,Y,0.2062,0.342,0.218,0.126,0.115,merge3,0.177,0.293,485
bcsstm21,3600,Y,0.0278,0.382,0.238,0.141,0.152,merge3,0.162,0.461,3600
bcsstm22,138,Y,0.7246,0.468,0.178,0.116,0.122,merge3,0.171,0.28,138
bcsstm23,3134,Y,0.0319,0.391,0.209,0.147,0.137,merge3,0.176,0.459,3134
bcsstm24,3562,Y,0.0281,0.372,0.216,0.14,0.151,merge3,0.175,0.476,3562
bcsstm25,15439,Y,0.0065,0.452,0.227,0.24,0.236,merge3,0.175,0.443,15439
bcsstm26,1922,Y,0.052,0.36,0.192,0.125,0.119,merge3,0.162,0.313,1922
bcsstm27,1224,Y,1.914,0.726,2.053,0.44,0.434,merge3,0.51,0.65,138106
blckhole,2132,Y,0.187,0.499,0.481,0.184,0.188,merge3,0.185,0.467,41546
bp_0,822,N,0.4848,0.382,11.016,0.604,0.567,merge3,0.236,0.438,9384
bp_1000,822,N,0.6898,0.392,17.263,0.644,0.658,merge3,0.247,0.48,21373
bp_1200,822,N,0.6994,0.389,17.556,0.639,0.645,merge3,0.261,0.484,22313
bp_1400,822,N,0.7089,0.38,17.386,0.626,0.625,merge3,0.246,0.472,23154
bp_1600,822,N,0.7165,0.367,17.098,0.642,0.635,merge3,0.27,0.485,23625
bp_200,822,N,0.5627,0.382,13.656,0.597,0.6,merge3,0.252,0.467,13197
bp_400,822,N,0.5961,0.371,15.278,0.644,0.642,merge3,0.244,0.459,15238
bp_600,822,N,0.6174,0.371,16.174,0.634,0.641,merge3,0.257,0.467,16464
bp_800,822,N,0.671,0.396,16.641,0.661,0.654,merge3,0.274,0.462,20224
can_1054,1054,Y,0.5964,0.445,0.837,0.27,0.209,merge3,0.288,0.331,60248
can_1072,1072,Y,0.5881,0.452,0.99,0.192,0.196,merge3,0.335,0.34,62316
can_144,144,Y,3.4722,0.406,0.249,0.133,0.133,merge3,0.33,0.305,3456
can_161,161,Y,2.9667,0.414,0.273,0.169,0.14,merge3,0.3,0.302,3761
can_187,187,Y,2.3993,0.343,0.218,0.12,0.121,merge3,0.294,0.29,3719
can_229,229,Y,1.9126,0.352,0.263,0.171,0.16,merge3,0.295,0.296,5017
can_24,24,Y,15.9722,0.321,0.199,0.132,0.115,merge3,0.194,0.284,336
can_256,256,Y,2.42,0.419,1.863,0.209,0.23,merge3,0.328,0.346,18568
can_268,268,Y,2.3321,0.401,0.671,0.166,0.169,merge3,0.35,0.312,15590
can_292,292,Y,1.6607,0.373,0.534,0.137,0.195,merge3,0.344,0.318,11670
can_445,445,Y,1.0741,0.355,0.267,0.136,0.136,merge3,0.3,0.301,11193
can_61,61,Y,8.3042,0.378,0.33,0.129,0.128,merge3,0.294,0.3,1793
can_62,62,Y,3.642,0.334,0.194,0.115,0.157,merge3,0.196,0.281,482
can_634,634,Y,0.978,0.46,0.432,0.153,0.158,merge3,0.334,0.31,25446
can_715,715,Y,0.7218,0.448,1.743,0.372,0.408,merge3,0.432,0.366,39785
can_73,73,Y,4.2222,0.353,0.255,0.156,0.169,merge3,0.209,0.293,1377
can_838,838,Y,0.7724,0.512,0.724,0.183,0.182,merge3,0.331,0.341,51156
can_96,96,Y,4.6875,0.411,0.229,0.114,0.12,merge3,0.3,0.289,1920
