matrix,n,sym,density_pct,merge3,Auto,Auto_choice,Ocean,HSMU,opSparse,cnnz
bcsstk06,420,Y,2.3469,0.167,0.147,merge3,0.318,0.341,1.017,23660
bcsstk07,420,Y,2.3469,0.158,0.145,merge3,0.347,0.348,0.608,23660
bcsstk08,1074,Y,0.6083,0.85,0.608,hash,0.404,0.806,0.603,305612
bcsstk09,1083,Y,0.8321,0.171,0.17,merge3,0.314,0.336,0.754,71289
bcsstk10,1086,Y,0.9817,0.179,0.2,merge3,0.452,0.36,0.801,54504
bcsstk11,1473,Y,0.823,0.201,0.203,merge3,0.553,0.521,0.612,94187
bcsstk12,1473,Y,0.823,0.222,0.194,merge3,0.491,0.431,0.616,94187
bcsstk13,2003,Y,1.0704,0.633,0.813,hash,0.659,0.746,0.857,396773
bcsstk14,1806,Y,1.0004,0.339,0.319,merge3,0.546,0.536,0.967,195654
bcsstk15,3948,Y,0.3906,0.407,0.306,hash,0.357,0.681,0.97,527688
bcsstk16,4884,Y,0.6189,1.208,0.541,hash,0.781,1.423,1.017,1038782
bcsstk17,10974,Y,0.1825,1.192,0.674,hash,0.773,1.72,1.091,1406936
bcsstk18,11948,Y,0.0564,0.514,0.379,hash,0.434,1.039,0.962,713208
bcsstk19,817,Y,0.5745,0.128,0.132,merge3,0.269,0.308,0.626,18305
bcsstk20,485,Y,0.7695,0.125,0.139,merge3,0.179,0.315,0.872,5545
bcsstk21,3600,Y,0.1165,0.185,0.186,merge3,0.212,0.315,0.605,93072
bcsstk22,138,Y,2.1897,0.131,0.108,merge3,0.198,0.229,0.597,1552
bcsstk23,3134,Y,0.2459,0.248,0.257,merge3,0.332,0.522,0.912,220632
bcsstk24,3562,Y,0.6442,0.445,0.353,hash,0.619,0.937,1.422,446474
bcsstk25,15439,Y,0.0561,0.752,0.442,hash,0.448,1.483,1.153,1168919
bcsstk26,1922,Y,0.4366,0.191,0.187,merge3,0.4,0.511,0.794,92530
bcsstk27,1224,Y,1.914,0.308,0.311,merge3,0.426,0.655,0.757,138106
bcsstk28,4410,Y,0.5744,0.615,0.396,hash,0.759,1.351,1.29,596072
bcsstk29,13992,Y,0.1618,1.412,0.799,hash,0.845,1.747,1.302,1965686
bcsstk30,28924,Y,0.1239,11.358,3.113,hash,2.279,4.478,2.954,8946070
bcsstk31,35588,Y,0.048,3.09,1.344,hash,1.246,2.452,2.365,4713580
bcsstk32,44609,Y,0.0517,5.661,2.143,hash,1.749,3.69,3.125,6819653
bcsstk33,8738,Y,0.3933,2.77,1.039,hash,1.527,1.889,2.009,2569536
bcsstm01,48,Y,2.0833,0.096,0.116,merge3,0.132,0.271,1.31,48
bcsstm02,66,Y,1.5152,0.108,0.103,merge3,0.154,0.277,1.096,66
bcsstm03,112,Y,0.8929,0.096,0.101,merge3,0.137,0.27,1.072,112
bcsstm04,132,Y,0.7576,0.141,0.105,merge3,0.161,0.301,1.222,132
bcsstm05,153,Y,0.6536,0.124,0.102,merge3,0.14,0.288,1.221,153
bcsstm06,420,Y,0.2381,0.108,0.142,merge3,0.158,0.285,0.869,420
bcsstm07,420,Y,2.1746,0.144,0.131,merge3,0.309,0.336,1.742,22972
bcsstm08,1074,Y,0.0931,0.114,0.143,merge3,0.172,0.287,0.879,1074
bcsstm09,1083,Y,0.0923,0.11,0.138,merge3,0.162,0.23,0.916,1083
bcsstm10,1086,Y,0.9826,0.179,0.183,merge3,0.459,0.41,0.608,54504
bcsstm11,1473,Y,0.0679,0.126,0.126,merge3,0.19,0.293,1.15,1473
bcsstm12,1473,Y,0.487,0.181,0.191,merge3,0.34,0.343,1.157,53615
bcsstm13,2003,Y,0.2984,0.288,0.299,merge3,0.428,0.578,0.675,90811
bcsstm19,817,Y,0.1224,0.12,0.113,merge3,0.161,0.293,0.875,817
bcsstm20,485,Y,0.2062,0.121,0.107,merge3,0.16,0.221,0.91,485
bcsstm21,3600,Y,0.0278,0.138,0.157,merge3,0.169,0.479,1.408,3600
bcsstm22,138,Y,0.7246,0.127,0.102,merge3,0.161,0.269,0.914,138
bcsstm23,3134,Y,0.0319,0.134,0.133,merge3,0.167,0.425,1.161,3134
bcsstm24,3562,Y,0.0281,0.125,0.136,merge3,0.145,0.366,1.315,3562
bcsstm25,15439,Y,0.0065,0.28,0.268,merge3,0.176,0.476,1.56,15439
bcsstm26,1922,Y,0.052,0.124,0.124,merge3,0.168,0.315,1.67,1922
bcsstm27,1224,Y,1.914,0.31,0.31,merge3,0.496,0.54,1.715,138106
blckhole,2132,Y,0.187,0.178,0.237,merge3,0.213,0.469,1.209,41546
bp_0,822,N,0.4848,0.397,0.319,hash,0.233,0.439,1.489,9384
bp_1000,822,N,0.6898,0.44,0.369,hash,0.248,0.488,1.127,21373
bp_1200,822,N,0.6994,0.436,0.376,hash,0.248,0.47,1.317,22313
bp_1400,822,N,0.7089,0.43,0.385,hash,0.226,0.476,0.807,23154
bp_1600,822,N,0.7165,0.437,0.381,hash,0.256,0.409,1.012,23625
bp_200,822,N,0.5627,0.416,0.337,hash,0.216,0.456,0.673,13197
bp_400,822,N,0.5961,0.421,0.343,hash,0.243,0.403,0.996,15238
bp_600,822,N,0.6174,0.433,0.346,hash,0.219,0.418,1.701,16464
bp_800,822,N,0.671,0.446,0.382,hash,0.245,0.413,1.113,20224
can_1054,1054,Y,0.5964,0.167,0.193,merge3,0.42,0.33,0.653,60248
can_1072,1072,Y,0.5881,0.165,0.163,merge3,0.334,0.348,1.413,62316
can_144,144,Y,3.4722,0.113,0.124,merge3,0.303,0.319,1.204,3456
can_161,161,Y,2.9667,0.137,0.141,merge3,0.302,0.295,1.431,3761
can_187,187,Y,2.3993,0.121,0.122,merge3,0.299,0.288,1.58,3719
can_229,229,Y,1.9126,0.169,0.144,merge3,0.302,0.315,0.593,5017
can_24,24,Y,15.9722,0.119,0.117,merge3,0.163,0.272,1.476,336
can_256,256,Y,2.42,0.172,0.193,merge3,0.415,0.349,0.813,18568
can_268,268,Y,2.3321,0.172,0.149,merge3,0.273,0.318,0.73,15590
can_292,292,Y,1.6607,0.127,0.127,merge3,0.318,0.314,1.014,11670
can_445,445,Y,1.0741,0.134,0.14,merge3,0.309,0.24,1.451,11193
can_61,61,Y,8.3042,0.136,0.123,merge3,0.302,0.249,1.452,1793
can_62,62,Y,3.642,0.113,0.129,merge3,0.199,0.278,0.683,482
can_634,634,Y,0.978,0.132,0.139,merge3,0.334,0.317,0.602,25446
can_715,715,Y,0.7218,0.271,0.272,merge3,0.358,0.362,0.982,39785
can_73,73,Y,4.2222,0.109,0.16,merge3,0.199,0.284,0.736,1377
can_838,838,Y,0.7724,0.148,0.15,merge3,0.331,0.327,0.975,51156
can_96,96,Y,4.6875,0.12,0.113,merge3,0.3,0.287,0.799,1920
