matrix,n,sym,density_pct,merge3,Auto,Auto_choice,Ocean,HSMU,cnnz
bcsstm20,485,Y,0.2062,0.103,0.118,merge3,0.177,0.287,485
bcsstm21,3600,Y,0.0278,0.1,0.103,merge3,0.179,0.458,3600
bcsstm22,138,Y,0.7246,0.087,0.076,merge3,0.171,0.276,138
bcsstm23,3134,Y,0.0319,0.105,0.097,merge3,0.193,0.47,3134
bcsstm24,3562,Y,0.0281,0.099,0.119,merge3,0.351,0.463,3562
bcsstm25,15439,Y,0.0065,0.189,0.313,hash,0.188,0.494,15439
bcsstm26,1922,Y,0.052,0.09,0.09,merge3,0.178,0.322,1922
bcsstm27,1224,Y,1.914,0.345,0.346,merge3,0.547,0.66,138106
blckhole,2132,Y,0.187,0.153,0.155,merge3,0.227,0.524,41546
bp_0,822,N,0.4848,0.542,0.373,hash,0.235,0.445,9384
bp_1000,822,N,0.6898,0.626,0.35,hash,0.245,0.449,21373
bp_1200,822,N,0.6994,0.608,0.373,hash,0.245,0.472,22313
bp_1400,822,N,0.7089,0.594,0.373,hash,0.262,0.482,23154
bp_1600,822,N,0.7165,0.592,0.369,hash,0.266,0.476,23625
bp_200,822,N,0.5627,0.567,0.305,hash,0.253,0.476,13197
bp_400,822,N,0.5961,0.618,0.335,hash,0.26,0.464,15238
bp_600,822,N,0.6174,0.627,0.335,hash,0.24,0.484,16464
bp_800,822,N,0.671,0.632,0.333,hash,0.261,0.47,20224
can_1054,1054,Y,0.5964,0.156,0.164,merge3,0.34,0.331,60248
can_1072,1072,Y,0.5881,0.162,0.167,merge3,0.374,0.342,62316
can_144,144,Y,3.4722,0.1,0.091,merge3,0.322,0.302,3456
can_161,161,Y,2.9667,0.104,0.124,merge3,0.331,0.302,3761
can_187,187,Y,2.3993,0.09,0.091,merge3,0.291,0.32,3719
can_229,229,Y,1.9126,0.125,0.137,merge3,0.323,0.321,5017
can_24,24,Y,15.9722,0.08,0.082,merge3,0.197,0.285,336
can_256,256,Y,2.42,0.19,0.172,merge3,0.346,0.353,18568
can_268,268,Y,2.3321,0.131,0.132,merge3,0.307,0.311,15590
can_292,292,Y,1.6607,0.123,0.115,merge3,0.315,0.313,11670
can_445,445,Y,1.0741,0.107,0.1,merge3,0.331,0.311,11193
can_61,61,Y,8.3042,0.091,0.108,merge3,0.329,0.336,1793
can_62,62,Y,3.642,0.1,0.119,merge3,0.191,0.22,482
can_634,634,Y,0.978,0.13,0.127,merge3,0.329,0.326,25446
can_715,715,Y,0.7218,0.344,0.346,merge3,0.377,0.37,39785
can_73,73,Y,4.2222,0.092,0.088,merge3,0.196,0.299,1377
can_838,838,Y,0.7724,0.136,0.125,merge3,0.33,0.319,51156
can_96,96,Y,4.6875,0.102,0.086,merge3,0.295,0.286,1920
