matrix,n,density_pct,A_nnz,C_nnz_flop,merge3_ms,hash_ms,ratio
bcsstk09,1083,1.6643,19520,351828.6241920591,0.156,0.18500000000000003,1.1858974358974361
bcsstk10,1086,1.9634,23156,493738.7992633518,0.162,0.196,1.2098765432098766
bcsstk11,1473,1.646,35714,865912.9640190088,0.181,0.203,1.121546961325967
bcsstk12,1473,1.646,35714,865912.9640190088,0.184,0.195,1.0597826086956523
bcsstk13,2003,2.1407,85886,3682678.4802795807,0.755,0.646,0.8556291390728477
bcsstk14,1806,2.0008,65260,2358176.965669989,0.342,0.36600000000000005,1.0701754385964912
bcsstk15,3948,0.7812,121764,3755438.6261398178,0.504,0.271,0.5376984126984128
bcsstk16,4884,1.2378,295262,17850050.90990991,1.556,0.465,0.29884318766066836
bcsstk17,10974,0.365,439624,17611560.176416986,1.541,0.5720000000000001,0.37118754055807923
bcsstk18,11948,0.1128,161038,2170508.6578506865,0.606,0.3739999999999999,0.617161716171617
bcsstk19,817,1.1491,7670,72005.99755201959,0.102,0.18599999999999997,1.8235294117647056
bcsstk20,485,1.539,3620,27019.381443298967,0.096,0.183,1.90625
bcsstk21,3600,0.233,30200,253344.44444444444,0.155,0.2,1.2903225806451615
bcsstk22,138,4.3793,834,5040.260869565217,0.091,0.16999999999999998,1.868131868131868
bcsstk23,3134,0.4919,48312,744750.9074664965,0.249,0.25799999999999995,1.0361445783132528
bcsstk24,3562,1.2884,163472,7502272.539023021,0.534,0.29800000000000004,0.5580524344569289
bcsstk25,15439,0.1123,267680,4641011.879007707,0.93,0.4200000000000001,0.45161290322580655
bcsstk26,1922,0.8732,32258,541404.0395421436,0.168,0.21200000000000002,1.2619047619047619
bcsstk27,1224,3.828,57350,2687109.885620915,0.338,0.355,1.0502958579881656
bcsstk28,4410,1.1489,223434,11320352.008163266,0.811,0.389,0.4796547472256473
bcsstk29,13992,0.3236,633480,28680453.8593482,1.749,0.699,0.3996569468267581
bcsstk30,28924,0.2477,2072416,148489423.21449316,15.697,2.4939999999999993,0.15888386315856529
bcsstk31,35588,0.0961,1217004,41617925.593346074,4.109,1.1919999999999997,0.2900949136042832
bcsstk32,44609,0.1035,2059310,95065069.29319195,6.856,1.7649999999999997,0.25743873978996495
bcsstk33,8738,0.7867,600642,41287572.91874571,3.662,0.8079999999999999,0.2206444565811032
bcsstm01,48,4.1667,96,192.0,0.076,0.13599999999999998,1.789473684210526
bcsstm02,66,3.0303,132,264.0,0.102,0.16199999999999998,1.588235294117647
bcsstm03,112,1.7857,224,448.0,0.085,0.148,1.741176470588235
bcsstm04,132,1.5152,264,528.0,0.082,0.13799999999999998,1.6829268292682924
bcsstm05,153,1.3072,306,612.0,0.104,0.145,1.3942307692307692
bcsstm06,420,0.4762,840,1680.0,0.081,0.146,1.802469135802469
bcsstm07,420,4.3492,7672,140141.86666666667,0.127,0.19199999999999998,1.511811023622047
bcsstm08,1074,0.1862,2148,4296.0,0.086,0.16399999999999998,1.9069767441860463
bcsstm09,1083,0.1847,2166,4332.0,0.085,0.153,1.7999999999999998
bcsstm10,1086,1.9652,23178,494677.42541436467,0.164,0.18100000000000002,1.103658536585366
bcsstm11,1473,0.1358,2946,5892.0,0.084,0.177,2.1071428571428568
bcsstm12,1473,0.9739,21132,303164.5784114053,0.15,0.19300000000000003,1.2866666666666668
bcsstm13,2003,0.5969,23946,286276.04393409885,0.334,0.30699999999999994,0.9191616766467063
bcsstm19,817,0.2448,1634,3268.0,0.09,0.148,1.6444444444444444
bcsstm20,485,0.4124,970,1940.0,0.103,0.147,1.4271844660194175
bcsstm21,3600,0.0556,7200,14400.0,0.1,0.18999999999999997,1.8999999999999997
bcsstm22,138,1.4493,276,552.0,0.087,0.148,1.7011494252873565
bcsstm23,3134,0.0638,6268,12536.0,0.105,0.16799999999999998,1.5999999999999999
bcsstm24,3562,0.0561,7124,14248.0,0.099,0.16899999999999998,1.7070707070707067
bcsstm25,15439,0.013,30878,61756.0,0.189,0.26799999999999996,1.4179894179894177
