matrix,n,density_pct,A_nnz,A_nnz_actual,max_row_nnz,avg_row_nnz,skew,C_nnz_flop,merge3_ms,hash_ms,ratio,hash_wins
bcsstm24,3562,0.0561,7124,3562.0,1,1,1.0,14248,0.099,0.16899999999999998,1.7070707070707067,0
bcsstm25,15439,0.013,30878,15439.0,1,1,1.0,61756,0.189,0.26799999999999996,1.4179894179894177,0
bcsstm26,1922,0.1041,3844,1922.0,1,1,1.0,7688,0.09,0.16499999999999998,1.8333333333333333,0
bcsstm27,1224,3.828,57350,56126.0,54,45,1.1776360332109896,2687109,0.345,0.357,1.0347826086956522,0
blckhole,2132,0.3741,17004,14872.0,20,6,2.867132867132867,135617,0.153,0.215,1.4052287581699348,0
bp_0,822,0.4848,3276,3276.0,266,3,66.74358974358975,13056,0.542,0.27499999999999997,0.5073800738007379,1
bp_1000,822,0.6898,4661,4661.0,308,5,54.31795751984553,26429,0.626,0.32299999999999995,0.5159744408945686,1
bp_1200,822,0.6994,4726,4726.0,311,5,54.09267879813795,27171,0.608,0.32399999999999995,0.5328947368421052,1
bp_1400,822,0.7089,4790,4790.0,311,5,53.36993736951983,27912,0.594,0.32799999999999996,0.5521885521885521,1
bp_1600,822,0.7165,4841,4841.0,304,5,51.619086965502994,28510,0.592,0.33099999999999996,0.5591216216216216,1
bp_200,822,0.5627,3802,3802.0,283,4,61.18516570226196,17585,0.567,0.27999999999999997,0.49382716049382713,1
bp_400,822,0.5961,4028,4028.0,295,4,60.201092353525326,19738,0.618,0.306,0.49514563106796117,1
bp_600,822,0.6174,4172,4172.0,302,5,59.50239693192714,21174,0.627,0.299,0.4768740031897926,1
bp_800,822,0.671,4534,4534.0,304,5,55.114247904719896,25008,0.632,0.309,0.4889240506329114,1
can_1054,1054,1.1927,13250,12196.0,35,11,3.0247622171203674,166567,0.156,0.191,1.2243589743589745,0
can_1072,1072,1.1761,13516,12444.0,35,11,3.0151076824172294,170412,0.162,0.207,1.2777777777777777,0
can_144,144,6.9444,1440,1296.0,15,9,1.6666666666666667,14400,0.1,0.16599999999999998,1.6599999999999997,0
can_161,161,5.9334,1538,1377.0,17,8,1.9876543209876543,14692,0.104,0.16499999999999998,1.5865384615384615,0
can_187,187,4.7985,1678,1491.0,10,7,1.2541918175720992,15057,0.09,0.175,1.9444444444444444,0
can_229,229,3.8253,2006,1777.0,13,7,1.6752954417557682,17572,0.125,0.206,1.648,0
can_24,24,31.9444,184,160.0,9,6,1.3499999999999999,1410,0.08,0.16999999999999998,2.1249999999999996,0
can_256,256,4.8401,3172,2916.0,83,11,7.286694101508917,39303,0.19,0.23199999999999998,1.2210526315789472,0
can_268,268,4.6642,3350,3082.0,37,11,3.217391304347826,41875,0.131,0.174,1.32824427480916,0
can_292,292,3.3214,2832,2540.0,35,8,4.0236220472440944,27466,0.123,0.183,1.4878048780487805,0
can_445,445,2.1482,4254,3809.0,13,8,1.5187713310580204,40666,0.107,0.16299999999999998,1.5233644859813082,0
can_61,61,16.6084,618,557.0,25,9,2.7378815080789947,6261,0.091,0.16999999999999998,1.868131868131868,0
can_62,62,7.2841,280,218.0,7,3,1.9908256880733946,1264,0.1,0.16699999999999998,1.6699999999999997,0
can_634,634,1.9559,7862,7228.0,28,11,2.4560044272274486,97493,0.13,0.196,1.5076923076923077,0
can_715,715,1.4436,7380,6665.0,105,9,11.264066016504126,76173,0.344,0.215,0.625,1
can_73,73,8.4444,450,377.0,9,5,1.7427055702917773,2773,0.092,0.16999999999999998,1.8478260869565215,0
can_838,838,1.5448,10848,10010.0,32,11,2.678921078921079,140428,0.136,0.178,1.3088235294117645,0
can_96,96,9.375,864,768.0,9,8,1.125,7776,0.102,0.13999999999999999,1.3725490196078431,0
