matrix,n,sym,density_pct,merge3,Auto,Auto_choice,Ocean,HSMU,cnnz
bcsstk09,1083,Y,0.8321,0.153,0.173,merge3,0.355,0.389,71289
bcsstk10,1086,Y,0.9817,0.184,0.186,merge3,0.514,0.481,54504
bcsstk11,1473,Y,0.823,0.19,0.204,merge3,0.579,0.664,94187
bcsstk12,1473,Y,0.823,0.2,0.2,merge3,0.57,0.709,94187
bcsstk13,2003,Y,1.0704,0.814,0.727,hash,0.752,1.189,396773
bcsstk14,1806,Y,1.0004,0.375,0.45,hash,0.682,0.643,195654
bcsstk15,3948,Y,0.3906,0.517,0.356,hash,0.451,0.846,527688
bcsstk16,4884,Y,0.6189,1.566,0.561,hash,0.955,1.609,1038782
bcsstk17,10974,Y,0.1825,1.582,0.646,hash,0.864,1.892,1406936
bcsstk18,11948,Y,0.0564,0.626,0.479,hash,0.464,1.374,713208
bcsstk19,817,Y,0.5745,0.111,0.106,merge3,0.371,0.36,18305
bcsstk20,485,Y,0.7695,0.116,0.123,merge3,0.225,0.359,5545
bcsstk21,3600,Y,0.1165,0.154,0.166,merge3,0.226,0.503,93072
bcsstk22,138,Y,2.1897,0.088,0.085,merge3,0.221,0.313,1552
bcsstk23,3134,Y,0.2459,0.262,0.26,merge3,0.371,0.656,220632
bcsstk24,3562,Y,0.6442,0.551,0.389,hash,0.756,1.181,446474
bcsstk25,15439,Y,0.0561,0.935,0.536,hash,0.492,1.704,1168919
bcsstk26,1922,Y,0.4366,0.192,0.2,merge3,0.383,0.709,92530
bcsstk27,1224,Y,1.914,0.363,0.417,hash,0.568,0.795,138106
bcsstk28,4410,Y,0.5744,0.845,0.444,hash,0.786,1.491,596072
bcsstk29,13992,Y,0.1618,1.816,0.835,hash,1.04,1.957,1965686
bcsstk30,28924,Y,0.1239,15.768,2.66,hash,2.55,5.084,8946070
bcsstk31,35588,Y,0.048,4.063,1.291,hash,1.366,2.922,4713580
bcsstk32,44609,Y,0.0517,6.85,1.873,hash,1.908,4.004,6819653
bcsstk33,8738,Y,0.3933,3.738,0.917,hash,1.674,2.162,2569536
bcsstm01,48,Y,2.0833,0.1,0.082,merge3,0.187,0.345,48
bcsstm02,66,Y,1.5152,0.092,0.116,merge3,0.179,0.355,66
bcsstm03,112,Y,0.8929,0.074,0.074,merge3,0.185,0.313,112
bcsstm04,132,Y,0.7576,0.074,0.08,merge3,0.185,0.315,132
bcsstm05,153,Y,0.6536,0.093,0.081,merge3,0.216,0.336,153
bcsstm06,420,Y,0.2381,0.101,0.09,merge3,0.206,0.335,420
bcsstm07,420,Y,2.1746,0.144,0.148,merge3,0.394,0.399,22972
bcsstm08,1074,Y,0.0931,0.094,0.083,merge3,0.177,0.346,1074
bcsstm09,1083,Y,0.0923,0.075,0.084,merge3,0.306,0.317,1083
bcsstm10,1086,Y,0.9826,0.173,0.189,merge3,0.575,0.436,54504
bcsstm11,1473,Y,0.0679,0.093,0.1,merge3,0.179,0.347,1473
bcsstm12,1473,Y,0.487,0.169,0.146,merge3,0.429,0.392,53615
bcsstm13,2003,Y,0.2984,0.339,0.408,hash,0.475,0.78,90811
bcsstm19,817,Y,0.1224,0.096,0.091,merge3,0.177,0.377,817
bcsstm20,485,Y,0.2062,0.092,0.092,merge3,0.183,0.311,485
bcsstm21,3600,Y,0.0278,0.106,0.107,merge3,0.2,0.547,3600
bcsstm22,138,Y,0.7246,0.076,0.075,merge3,0.184,0.243,138
bcsstm23,3134,Y,0.0319,0.099,0.102,merge3,0.19,0.635,3134
bcsstm24,3562,Y,0.0281,0.111,0.119,merge3,0.194,0.616,3562
bcsstm25,15439,Y,0.0065,0.19,0.189,merge3,0.276,0.542,15439
bcsstm26,1922,Y,0.052,0.091,0.1,merge3,0.209,0.393,1922
bcsstm27,1224,Y,1.914,0.354,0.451,hash,0.568,0.799,138106
blckhole,2132,Y,0.187,0.143,0.171,merge3,0.233,0.666,41546
bp_0,822,N,0.4848,0.566,0.341,hash,0.28,0.411,9384
bp_1000,822,N,0.6898,0.638,0.438,hash,0.292,0.544,21373
bp_1200,822,N,0.6994,0.64,0.428,hash,0.295,0.546,22313
bp_1400,822,N,0.7089,0.621,0.405,hash,0.273,0.531,23154
bp_1600,822,N,0.7165,0.629,0.448,hash,0.279,0.73,23625
bp_200,822,N,0.5627,0.589,0.4,hash,0.285,0.529,13197
bp_400,822,N,0.5961,0.655,0.41,hash,0.268,0.509,15238
bp_600,822,N,0.6174,0.626,0.427,hash,0.267,0.549,16464
bp_800,822,N,0.671,0.65,0.483,hash,0.28,0.53,20224
can_1054,1054,Y,0.5964,0.158,0.133,merge3,0.38,0.383,60248
can_1072,1072,Y,0.5881,0.174,0.168,merge3,0.429,0.306,62316
can_144,144,Y,3.4722,0.11,0.099,merge3,0.345,0.368,3456
can_161,161,Y,2.9667,0.134,0.126,merge3,0.34,0.342,3761
can_187,187,Y,2.3993,0.087,0.101,merge3,0.35,0.342,3719
can_229,229,Y,1.9126,0.127,0.136,merge3,0.381,0.389,5017
can_24,24,Y,15.9722,0.088,0.087,merge3,0.231,0.335,336
can_256,256,Y,2.42,0.177,0.192,merge3,0.416,0.407,18568
can_268,268,Y,2.3321,0.125,0.145,merge3,0.368,0.378,15590
can_292,292,Y,1.6607,0.125,0.122,merge3,0.406,0.353,11670
can_445,445,Y,1.0741,0.121,0.118,merge3,0.355,0.377,11193
can_61,61,Y,8.3042,0.096,0.097,merge3,0.369,0.351,1793
can_62,62,Y,3.642,0.09,0.093,merge3,0.223,0.334,482
can_634,634,Y,0.978,0.139,0.113,merge3,0.376,0.367,25446
can_715,715,Y,0.7218,0.356,0.403,hash,0.406,0.432,39785
can_73,73,Y,4.2222,0.088,0.104,merge3,0.218,0.343,1377
can_838,838,Y,0.7724,0.152,0.124,merge3,0.419,0.403,51156
can_96,96,Y,4.6875,0.082,0.101,merge3,0.379,0.315,1920
