matrix,n,sym,density_pct,merge3,Auto,Auto_choice,Ocean,HSMU,spECK,nsparse,opSparse,cnnz
bp_1000,822,N,0.6898,0.453,0.383,hash,0.259,0.494,0.138,,0.665,21373
bp_1200,822,N,0.6994,0.439,0.397,hash,0.264,0.489,0.13,,0.802,22313
bp_1400,822,N,0.7089,0.441,0.399,hash,0.263,0.476,0.139,,0.8,23154
bp_1600,822,N,0.7165,0.44,0.391,hash,0.289,0.491,0.172,,1.73,23625
bp_200,822,N,0.5627,0.414,0.351,hash,0.258,0.458,0.122,,1.026,13197
bp_400,822,N,0.5961,0.456,0.376,hash,0.258,0.474,0.128,,0.971,15238
bp_600,822,N,0.6174,0.447,0.38,hash,0.26,0.477,0.141,,1.517,16464
bp_800,822,N,0.671,0.464,0.386,hash,0.27,0.484,0.126,,1.785,20224
can_1054,1054,Y,0.5964,0.201,0.173,merge3,0.367,0.339,0.095,,0.875,60248
can_1072,1072,Y,0.5881,0.216,0.179,merge3,0.367,0.433,0.096,,1.53,62316
can_144,144,Y,3.4722,0.131,0.126,merge3,0.33,0.316,0.084,,1.027,3456
can_161,161,Y,2.9667,0.133,0.133,merge3,0.336,0.313,0.085,,0.998,3761
can_187,187,Y,2.3993,0.115,0.112,merge3,0.301,0.29,0.069,,0.474,3719
can_229,229,Y,1.9126,0.132,0.145,merge3,0.299,0.311,0.084,,0.584,5017
can_24,24,Y,15.9722,0.115,0.125,merge3,0.204,0.284,0.082,,0.875,336
can_256,256,Y,2.42,0.177,0.183,merge3,0.429,0.694,0.088,,0.992,18568
can_268,268,Y,2.3321,0.153,0.155,merge3,0.345,0.347,0.094,,0.743,15590
can_292,292,Y,1.6607,0.14,0.14,merge3,0.347,0.321,0.087,,0.969,11670
can_445,445,Y,1.0741,0.136,0.134,merge3,0.337,0.308,0.088,,0.847,11193
can_61,61,Y,8.3042,0.138,0.126,merge3,0.334,0.31,0.081,,0.677,1793
can_62,62,Y,3.642,0.132,0.119,merge3,0.202,0.288,0.081,,1.587,482
can_634,634,Y,0.978,0.148,0.158,merge3,0.366,0.338,0.088,,1.072,25446
can_715,715,Y,0.7218,0.284,0.278,hash,0.386,0.373,0.095,,1.093,39785
can_73,73,Y,4.2222,0.143,0.121,merge3,0.207,0.291,0.085,,1.802,1377
can_838,838,Y,0.7724,0.145,0.156,merge3,0.36,0.335,0.09,,1.1,51156
can_96,96,Y,4.6875,0.139,0.115,merge3,0.326,0.301,0.083,,1.26,1920
