matrix,n,sym,density_pct,merge3,Auto,Auto_choice,Ocean,HSMU,cnnz
bcsstk28,4410,Y,0.5744,0.82,0.435,hash,0.692,1.213,596072
bcsstk29,13992,Y,0.1618,1.772,0.726,hash,0.926,1.791,1965686
bcsstk30,28924,Y,0.1239,15.577,2.507,hash,2.288,4.43,8946070
bcsstk31,35588,Y,0.048,4.072,1.191,hash,1.161,2.841,4713580
bcsstk32,44609,Y,0.0517,6.868,1.799,hash,1.747,3.686,6819653
bcsstk33,8738,Y,0.3933,3.641,0.833,hash,1.536,1.893,2569536
bcsstm01,48,Y,2.0833,0.076,0.076,merge3,0.133,0.287,48
bcsstm02,66,Y,1.5152,0.075,0.074,merge3,0.156,0.286,66
bcsstm03,112,Y,0.8929,0.08,0.075,merge3,0.157,0.288,112
bcsstm04,132,Y,0.7576,0.074,0.071,merge3,0.14,0.272,132
bcsstm05,153,Y,0.6536,0.074,0.073,merge3,0.137,0.269,153
bcsstm06,420,Y,0.2381,0.077,0.074,merge3,0.161,0.315,420
bcsstm07,420,Y,2.1746,0.123,0.145,merge3,0.315,0.349,22972
bcsstm08,1074,Y,0.0931,0.074,0.091,merge3,0.193,0.289,1074
bcsstm09,1083,Y,0.0923,0.085,0.089,merge3,0.161,0.286,1083
bcsstm10,1086,Y,0.9826,0.167,0.166,merge3,0.452,0.353,54504
bcsstm11,1473,Y,0.0679,0.127,0.088,merge3,0.14,0.299,1473
bcsstm12,1473,Y,0.487,0.142,0.149,merge3,0.34,0.279,53615
bcsstm13,2003,Y,0.2984,0.316,0.347,hash,0.426,0.589,90811
bcsstm19,817,Y,0.1224,0.083,0.078,merge3,0.159,0.29,817
bcsstm20,485,Y,0.2062,0.076,0.082,merge3,0.177,0.293,485
bcsstm21,3600,Y,0.0278,0.113,0.097,merge3,0.18,0.484,3600
bcsstm22,138,Y,0.7246,0.079,0.077,merge3,0.173,0.28,138
bcsstm23,3134,Y,0.0319,0.097,0.094,merge3,0.221,0.86,3134
bcsstm24,3562,Y,0.0281,0.107,0.1,merge3,0.142,0.729,3562
bcsstm25,15439,Y,0.0065,0.181,0.192,merge3,0.149,0.477,15439
bcsstm26,1922,Y,0.052,0.086,0.086,merge3,0.164,0.316,1922
bcsstm27,1224,Y,1.914,0.348,0.42,hash,0.492,0.642,138106
blckhole,2132,Y,0.187,0.149,0.168,merge3,0.211,0.473,41546
bp_0,822,N,0.4848,0.546,0.312,hash,0.234,0.439,9384
bp_1000,822,N,0.6898,0.606,0.369,hash,0.483,0.486,21373
bp_1200,822,N,0.6994,0.634,0.391,hash,0.224,0.477,22313
bp_1400,822,N,0.7089,0.6,0.381,hash,0.296,0.491,23154
bp_1600,822,N,0.7165,0.6,0.38,hash,0.265,0.468,23625
bp_200,822,N,0.5627,0.568,0.347,hash,0.214,0.456,13197
bp_400,822,N,0.5961,0.619,0.343,hash,0.218,0.402,15238
bp_600,822,N,0.6174,0.617,0.36,hash,0.262,0.481,16464
bp_800,822,N,0.671,0.645,0.369,hash,0.246,0.481,20224
can_1054,1054,Y,0.5964,0.15,0.166,merge3,0.333,0.351,60248
can_1072,1072,Y,0.5881,0.169,0.173,merge3,0.438,0.343,62316
can_144,144,Y,3.4722,0.127,0.094,merge3,0.296,0.24,3456
can_161,161,Y,2.9667,0.103,0.119,merge3,0.262,0.315,3761
can_187,187,Y,2.3993,0.09,0.088,merge3,0.295,0.235,3719
can_229,229,Y,1.9126,0.119,0.12,merge3,0.36,0.321,5017
can_24,24,Y,15.9722,0.083,0.095,merge3,0.187,0.28,336
can_256,256,Y,2.42,0.178,0.176,merge3,0.349,0.357,18568
can_268,268,Y,2.3321,0.146,0.128,merge3,0.312,0.373,15590
can_292,292,Y,1.6607,0.111,0.112,merge3,0.342,0.322,11670
can_445,445,Y,1.0741,0.097,0.104,merge3,0.307,0.301,11193
can_61,61,Y,8.3042,0.089,0.088,merge3,0.333,0.299,1793
can_62,62,Y,3.642,0.086,0.087,merge3,0.162,0.275,482
can_634,634,Y,0.978,0.136,0.128,merge3,0.283,0.32,25446
can_715,715,Y,0.7218,0.36,0.281,hash,0.307,0.366,39785
can_73,73,Y,4.2222,0.095,0.093,merge3,0.202,0.287,1377
can_838,838,Y,0.7724,0.128,0.126,merge3,0.331,0.339,51156
can_96,96,Y,4.6875,0.083,0.083,merge3,0.302,0.294,1920
