matrix,n,sym,density_pct,merge3,Auto,Auto_choice,Ocean,HSMU,opSparse,cnnz
bcsstk10,1086,Y,0.9817,0.197,0.198,merge3,0.502,0.369,0.722,54504
bcsstk11,1473,Y,0.823,0.203,0.215,merge3,0.49,0.545,0.602,94187
bcsstk12,1473,Y,0.823,0.201,0.202,merge3,0.541,0.539,0.777,94187
bcsstk13,2003,Y,1.0704,0.616,0.841,hash,0.654,0.895,1.042,396773
bcsstk14,1806,Y,1.0004,0.319,0.331,merge3,0.548,0.52,0.927,195654
bcsstk15,3948,Y,0.3906,0.436,0.302,hash,0.409,0.684,0.798,527688
bcsstk16,4884,Y,0.6189,1.203,0.545,hash,0.825,1.452,1.148,1038782
bcsstk17,10974,Y,0.1825,1.224,0.715,hash,0.814,1.699,1.222,1406936
bcsstk18,11948,Y,0.0564,0.514,0.378,hash,0.418,1.184,0.851,713208
bcsstk19,817,Y,0.5745,0.133,0.138,merge3,0.312,0.305,0.601,18305
bcsstk20,485,Y,0.7695,0.138,0.116,merge3,0.205,0.309,0.575,5545
bcsstk21,3600,Y,0.1165,0.207,0.186,merge3,0.215,0.413,0.496,93072
bcsstk22,138,Y,2.1897,0.119,0.122,merge3,0.219,0.314,0.697,1552
bcsstk23,3134,Y,0.2459,0.263,0.261,merge3,0.289,0.509,0.81,220632
bcsstk24,3562,Y,0.6442,0.477,0.388,hash,0.593,0.955,1.078,446474
bcsstk25,15439,Y,0.0561,0.754,0.434,hash,0.442,1.236,0.842,1168919
bcsstk26,1922,Y,0.4366,0.187,0.198,merge3,0.346,0.488,0.616,92530
bcsstk27,1224,Y,1.914,0.305,0.316,merge3,0.49,0.638,0.717,138106
bcsstk28,4410,Y,0.5744,0.668,0.45,hash,0.756,1.539,0.935,596072
bcsstk29,13992,Y,0.1618,1.438,0.807,hash,0.91,1.763,1.273,1965686
bcsstk30,28924,Y,0.1239,11.328,3.139,hash,2.361,4.397,3.095,8946070
bcsstk31,35588,Y,0.048,3.108,1.346,hash,1.24,2.466,1.792,4713580
bcsstk32,44609,Y,0.0517,5.644,2.147,hash,1.807,3.654,2.312,6819653
bcsstk33,8738,Y,0.3933,2.758,1.024,hash,1.524,1.945,1.367,2569536
bcsstm01,48,Y,2.0833,0.105,0.112,merge3,0.171,0.277,0.919,48
bcsstm02,66,Y,1.5152,0.097,0.1,merge3,0.155,0.221,0.634,66
bcsstm03,112,Y,0.8929,0.101,0.094,merge3,0.158,0.272,0.7,112
bcsstm04,132,Y,0.7576,0.1,0.09,merge3,0.156,0.282,0.726,132
bcsstm05,153,Y,0.6536,0.099,0.115,merge3,0.162,0.291,0.533,153
bcsstm06,420,Y,0.2381,0.117,0.113,merge3,0.176,0.284,0.545,420
bcsstm07,420,Y,2.1746,0.139,0.146,merge3,0.313,0.276,0.586,22972
bcsstm08,1074,Y,0.0931,0.101,0.11,merge3,0.162,0.23,0.425,1074
bcsstm09,1083,Y,0.0923,0.111,0.113,merge3,0.161,0.288,0.656,1083
bcsstm10,1086,Y,0.9826,0.18,0.171,merge3,0.457,0.354,0.609,54504
bcsstm11,1473,Y,0.0679,0.115,0.116,merge3,0.166,0.286,0.718,1473
bcsstm12,1473,Y,0.487,0.174,0.177,merge3,0.372,0.335,0.626,53615
bcsstm13,2003,Y,0.2984,0.298,0.299,merge3,0.454,0.559,0.67,90811
bcsstm19,817,Y,0.1224,0.109,0.116,merge3,0.163,0.283,0.652,817
bcsstm20,485,Y,0.2062,0.105,0.109,merge3,0.14,0.282,0.536,485
bcsstm21,3600,Y,0.0278,0.131,0.136,merge3,0.163,1.3,0.538,3600
bcsstm22,138,Y,0.7246,0.108,0.106,merge3,0.157,0.266,0.529,138
bcsstm23,3134,Y,0.0319,0.168,0.132,merge3,0.168,0.369,0.655,3134
bcsstm24,3562,Y,0.0281,0.142,0.133,merge3,0.17,0.458,0.531,3562
bcsstm25,15439,Y,0.0065,0.268,0.261,merge3,0.15,0.444,0.531,15439
bcsstm26,1922,Y,0.052,0.121,0.139,merge3,0.164,0.291,0.532,1922
bcsstm27,1224,Y,1.914,0.304,0.308,merge3,0.488,0.637,0.732,138106
blckhole,2132,Y,0.187,0.172,0.174,merge3,0.211,0.484,0.6,41546
bp_0,822,N,0.4848,0.397,0.326,hash,0.246,0.448,0.639,9384
bp_1000,822,N,0.6898,0.441,0.382,hash,0.26,0.489,0.657,21373
bp_1200,822,N,0.6994,0.451,0.386,hash,0.262,0.474,0.833,22313
bp_1400,822,N,0.7089,0.437,0.395,hash,0.263,0.485,0.534,23154
bp_1600,822,N,0.7165,0.43,0.394,hash,0.25,0.472,0.792,23625
bp_200,822,N,0.5627,0.407,0.338,hash,0.239,0.463,0.653,13197
bp_400,822,N,0.5961,0.443,0.361,hash,0.255,0.495,0.772,15238
bp_600,822,N,0.6174,0.436,0.365,hash,0.258,0.474,0.645,16464
bp_800,822,N,0.671,0.452,0.382,hash,0.259,0.474,0.81,20224
can_1054,1054,Y,0.5964,0.186,0.196,merge3,0.361,0.344,0.901,60248
can_1072,1072,Y,0.5881,0.183,0.181,merge3,0.359,0.34,0.741,62316
can_144,144,Y,3.4722,0.134,0.136,merge3,0.326,0.314,0.564,3456
can_161,161,Y,2.9667,0.149,0.167,merge3,0.324,0.309,0.694,3761
can_187,187,Y,2.3993,0.289,0.117,merge3,0.291,0.3,0.76,3719
can_229,229,Y,1.9126,0.138,0.138,merge3,0.291,0.298,0.774,5017
can_24,24,Y,15.9722,0.113,0.129,merge3,0.201,0.285,0.598,336
can_256,256,Y,2.42,0.173,0.17,merge3,0.318,0.344,0.721,18568
can_268,268,Y,2.3321,0.156,0.149,merge3,0.312,0.329,0.619,15590
can_292,292,Y,1.6607,0.129,0.128,merge3,0.317,0.326,0.748,11670
can_445,445,Y,1.0741,0.137,0.135,merge3,0.304,0.239,0.678,11193
can_61,61,Y,8.3042,0.12,0.118,merge3,0.295,0.312,0.575,1793
can_62,62,Y,3.642,0.107,0.117,merge3,0.162,0.283,0.585,482
can_634,634,Y,0.978,0.138,0.155,merge3,0.333,0.335,0.581,25446
can_715,715,Y,0.7218,0.281,0.29,merge3,0.345,0.367,0.72,39785
can_73,73,Y,4.2222,0.12,0.121,merge3,0.198,0.291,0.707,1377
can_838,838,Y,0.7724,0.153,0.168,merge3,0.353,0.331,0.634,51156
can_96,96,Y,4.6875,0.125,0.119,merge3,0.323,0.289,0.866,1920
