Refresh 仅 'Auto' 列 × 337 阵(DENSE_TIMEOUT=600s)→ compare/ocean337/methods_cmp_clean.csv.csv

[178/337] hangGlider_5   Auto=7.478      (5.6s)
[179/337] hood           Auto=8.9        (7.3s)
[180/337] hugebubbles-00000 Auto=28.823     (18.3s)
[181/337] hugebubbles-00010 Auto=36.921     (18.8s)
[182/337] hugebubbles-00020 Auto=39.851     (20.7s)
[183/337] hugetrace-00010 Auto=19.746     (12.7s)
[184/337] hugetrace-00020 Auto=27.503     (15.7s)
[185/337] hugetric-00010 Auto=12.111     (9.6s)
[186/337] hugetric-00020 Auto=13.055     (9.9s)
[187/337] iChem_Jacobian Auto=3.185      (6.8s)
[188/337] in-2004        Auto=98.688     (9.2s)
[189/337] inline_1       Auto=89.187     (14.5s)
[190/337] invextr1_new   Auto=4.054      (5.7s)
[191/337] kim2           Auto=6.504      (10.1s)
[192/337] kkt_power      Auto=27.323     (9.0s)
[193/337] laminar_duct3D Auto=4.963      (6.4s)
[194/337] largebasis     Auto=3.516      (7.0s)
[195/337] ldoor          Auto=35.679     (15.1s)
[196/337] li             Auto=3.503      (5.5s)
[197/337] lowThrust_10   Auto=5.237      (5.2s)
[198/337] lowThrust_11   Auto=5.208      (5.2s)
[199/337] lowThrust_12   Auto=5.37       (5.2s)
[200/337] lowThrust_13   Auto=5.411      (5.2s)
[201/337] lowThrust_4    Auto=6.929      (5.1s)
[202/337] lowThrust_5    Auto=4.421      (5.3s)
[203/337] lowThrust_6    Auto=4.749      (5.2s)
[204/337] lowThrust_7    Auto=4.82       (5.2s)
[205/337] lowThrust_8    Auto=5.069      (5.2s)
[206/337] lowThrust_9    Auto=5.151      (5.3s)
[207/337] m14b           Auto=2.781      (5.5s)
[208/337] m_t1           Auto=16.001     (7.0s)
[209/337] mixtank_new    Auto=4.242      (5.6s)
[210/337] mono_500Hz     Auto=8.024      (8.1s)
[211/337] mouse_gene     Auto=598.432    (29.1s)
[212/337] msc10848       Auto=3.416      (5.3s)
[213/337] msc23052       Auto=1.553      (5.3s)
[214/337] msdoor         Auto=16.028     (9.3s)
[215/337] mult_dcop_01   Auto=19.419     (19.5s)
[216/337] mult_dcop_02   Auto=19.65      (19.4s)
[217/337] mult_dcop_03   Auto=19.905     (19.5s)
[218/337] nasasrb        Auto=2.797      (5.5s)
[219/337] nd12k          Auto=70.604     (8.5s)
[220/337] nd24k          Auto=150.296    (11.8s)
[221/337] nd3k           Auto=12.013     (5.8s)
[222/337] nd6k           Auto=29.241     (6.6s)
[223/337] nemeth01       Auto=0.581      (5.1s)
[224/337] nemeth18       Auto=0.543      (5.3s)
[225/337] nemeth19       Auto=0.63       (5.1s)
[226/337] nemeth20       Auto=1.049      (5.2s)
[227/337] nemeth21       Auto=1.859      (5.2s)
[228/337] nemeth22       Auto=1.94       (5.2s)
[229/337] nemeth23       Auto=2.297      (5.3s)
[230/337] nemeth24       Auto=2.308      (5.3s)
[231/337] nemeth25       Auto=2.299      (5.4s)
[232/337] nemeth26       Auto=2.303      (5.4s)
[233/337] net100         Auto=9.653      (5.6s)
[234/337] net125         Auto=13.618     (5.9s)
[235/337] net150         Auto=18.382     (6.1s)
[236/337] net50          Auto=4.68       (5.3s)
[237/337] net75          Auto=6.65       (5.4s)
[238/337] nlpkkt120      Auto=69.796     (35.3s)
[239/337] nlpkkt80       Auto=29.021     (10.2s)
[240/337] ns3Da          Auto=4.912      (5.7s)
[241/337] offshore       Auto=3.427      (6.0s)
[242/337] ohne2          Auto=18.954     (8.6s)
[243/337] oilpan         Auto=3.03       (5.7s)
[244/337] olafu          Auto=1.66       (5.2s)
[245/337] opt1           Auto=4.091      (5.2s)
[246/337] para-10        Auto=21.616     (6.9s)
[247/337] para-4         Auto=15.648     (6.9s)
[248/337] para-5         Auto=21.6       (7.0s)
[249/337] para-6         Auto=21.638     (6.9s)
[250/337] para-7         Auto=21.605     (6.8s)
[251/337] para-8         Auto=21.634     (6.9s)
[252/337] para-9         Auto=21.656     (6.9s)
[253/337] patents        Auto=10.164     (10.9s)
[254/337] pattern1       Auto=72.552     (6.9s)
[255/337] pcrystk02      Auto=1.677      (5.2s)
[256/337] pcrystk03      Auto=2.406      (5.2s)
[257/337] pct20stif      Auto=3.046      (5.2s)
[258/337] pdb1HYS        Auto=8.369      (5.8s)
[259/337] pf2177         Auto=4.607      (5.3s)
[260/337] pkustk01       Auto=1.662      (5.1s)
[261/337] pkustk02       Auto=1.014      (5.1s)
[262/337] pkustk03       Auto=2.959      (5.3s)
[263/337] pkustk04       Auto=24.761     (6.0s)
[264/337] pkustk05       Auto=3.088      (5.2s)
[265/337] pkustk06       Auto=3.51       (5.3s)
[266/337] pkustk07       Auto=5.736      (5.3s)
[267/337] pkustk08       Auto=7.634      (5.5s)
[268/337] pkustk09       Auto=1.368      (5.1s)
[269/337] pkustk10       Auto=3.977      (5.5s)
[270/337] pkustk11       Auto=6.359      (5.6s)
[271/337] pkustk12       Auto=65.429     (20.2s)
[272/337] pkustk13       Auto=12.101     (5.8s)
[273/337] pkustk14       Auto=27.929     (6.7s)
[274/337] pli            Auto=3.55       (5.2s)
[275/337] poisson3Db     Auto=4.524      (6.2s)
[276/337] pre2           Auto=47.727     (21.1s)
[277/337] pwtk           Auto=8.514      (7.6s)
[278/337] raefsky3       Auto=1.153      (5.9s)
[279/337] raefsky4       Auto=1.996      (5.3s)
[280/337] rajat16        Auto=46.251     (21.3s)
[281/337] rajat17        Auto=54.656     (21.0s)
[282/337] rajat18        Auto=37.941     (21.0s)
[283/337] rajat20        Auto=38.65      (21.1s)
[284/337] rajat25        Auto=45.266     (21.0s)
[285/337] rajat28        Auto=53.205     (21.0s)
[286/337] rajat31        Auto=10.524     (13.1s)
[287/337] ramage02       Auto=6.369      (5.4s)
[288/337] rgg_n_2_19_s0  Auto=5.597      (5.8s)
[289/337] rgg_n_2_20_s0  Auto=10.526     (6.7s)
[290/337] rgg_n_2_21_s0  Auto=20.754     (8.7s)
[291/337] rgg_n_2_22_s0  Auto=41.414     (13.0s)
[292/337] rma10          Auto=2.901      (5.8s)
[293/337] road_central   Auto=26.4       (14.6s)
[294/337] road_usa       Auto=38.724     (18.6s)
[295/337] s3dkq4m2       Auto=3.735      (6.1s)
[296/337] s3dkt3m2       Auto=2.487      (5.8s)
[297/337] ship_001       Auto=10.099     (5.9s)
[298/337] ship_003       Auto=8.947      (6.4s)
[299/337] shipsec1       Auto=6.614      (6.3s)
[300/337] shipsec5       Auto=8.839      (6.8s)
[301/337] shipsec8       Auto=6.356      (6.2s)
[302/337] sinc18         Auto=3.776      (5.5s)
[303/337] sme3Da         Auto=2.67       (5.4s)
[304/337] sme3Db         Auto=5.878      (5.9s)
[305/337] sme3Dc         Auto=9.118      (6.5s)
[306/337] soc-Slashdot0811 Auto=14.133     (5.7s)
[307/337] soc-Slashdot0902 Auto=14.113     (5.6s)
[308/337] sparsine       Auto=3.619      (5.4s)
[309/337] srb1           Auto=2.714      (5.3s)
[310/337] std1_Jac2      Auto=4.473      (5.5s)
[311/337] std1_Jac3      Auto=4.968      (5.6s)
[312/337] std1_Jac3_db   Auto=1.521      (5.2s)
[313/337] t3dh           Auto=6.21       (5.9s)
[314/337] t3dh_a         Auto=6.219      (6.0s)
[315/337] t3dh_e         Auto=6.228      (5.9s)
[316/337] thermal2       Auto=3.975      (7.3s)
[317/337] thread         Auto=10.473     (5.9s)
[318/337] torso1         Auto=196.961    (9.1s)
[319/337] torso3         Auto=3.231      (6.7s)
[320/337] trdheim        Auto=2.847      (5.3s)
[321/337] troll          Auto=10.944     (6.3s)
[322/337] tsyl201        Auto=3.576      (5.4s)
[323/337] vanbody        Auto=2.897      (5.7s)
[324/337] vsp_bcsstk30_500sep_10in_1Kout Auto=7.198      (5.7s)
[325/337] vsp_befref_fxm_2_4_air02 Auto=5.193      (5.2s)
[326/337] vsp_model1_crew1_cr42_south31 Auto=20.058     (19.1s)
[327/337] vsp_msc10848_300sep_100in_1Kout Auto=7.359      (5.4s)
[328/337] vsp_south31_slptsk Auto=18.734     (19.3s)
[329/337] water_tank     Auto=2.074      (5.7s)
[330/337] wb-edu         Auto=774.224    (35.0s)
[331/337] web-BerkStan   Auto=16.446     (6.7s)
[332/337] web-Google     Auto=12.476     (7.1s)
[333/337] web-NotreDame  Auto=10.316     (5.3s)
[334/337] webbase-1M     Auto=44.509     (6.5s)
[335/337] windscreen     Auto=2.123      (5.4s)
[336/337] x104           Auto=13.62      (7.1s)
[337/337] xenon2         Auto=2.895      (6.4s)

=== 几何均值(ms) ===
  cu          31.581
  Auto        10.649
  Ocean        5.918
  opSparse    17.433
  HSMU        14.426
  bhSparse    40.528
  dense     2477.293
  cublas     634.532

=== Auto 选择(共 337 阵)===  hash 337 / merge3 0

=== Auto vs cuSPARSE:赢 247 / 输 24,几何均值(Auto/cuSPARSE) 0.224× ===
  name                   n       C_nnz  cuSPARSE      Auto    ratio
  Stanford_Berkeley  683446    78130972    45.694   331.800    7.26×
  webbase-1M       1000005    51111996     9.512    44.509    4.68×
  hugetric-00020   7122792    44609736     5.449    13.055    2.40×
  hugetric-00010   6592765    41276239     5.104    12.111    2.37×
  web-Google        916428    29710164     7.529    12.476    1.66×
  TSOPF_RS_b2383_c1   38120    74318317    19.273    30.667    1.59×
  TSOPF_RS_b2383     38120    74318317    19.261    30.634    1.59×
  Chevron4          711450    17706328     3.089     4.398    1.42×
  Freescale1       3428755    45276331     6.943     8.966    1.29×
  M6               3501776    68984930     8.464    10.927    1.29×
  c-71               76638    52538716    11.109    14.319    1.29×
  NLR              4163763    82016497    10.102    13.019    1.29×
  AS365            3799275    74616587     9.225    11.839    1.28×
  333SP            3712815    71961733     8.466    10.682    1.26×
  delaunay_n22     4194304    86836968     9.811    12.130    1.24×
  ... 另有 9 个

=== Auto vs Ocean:赢 25 / 输 312,几何均值(Auto/Ocean) 1.799× ===
  name                   n       C_nnz     Ocean      Auto    ratio
  wb-edu           9845725   630077764     1.462   774.224  529.56×
  Cube_Coup_dt0    2164760   552667840     4.027   342.803   85.13×
  Flan_1565        1564794   509685948     4.027   142.187   35.31×
  Bump_2911        2911419   560173611     4.027   107.979   26.81×
  Ga41As41H72       268096   231455088     4.027   102.594   25.48×
  Long_Coup_dt6    1470152   388670368     4.027    99.813   24.79×
  Si41Ge41H72       185639   173776869     4.027    89.146   22.14×
  F1                343791   224484403     4.027    69.346   17.22×
  Serena           1391349   315805689     4.027    64.467   16.01×
  Hook_1498        1498023   312415749     4.027    59.377   14.74×
  Ga3As3H12          61349    62181563     4.027    55.056   13.67×
  Geo_1438         1437960   274478976     4.027    54.532   13.54×
  Ga19As19H42       133123   108051533     4.027    46.425   11.53×
  Ge99H100          112985   105811785     4.027    44.493   11.05×
  Ge87H76           112985    99053985     4.027    40.674   10.10×
  ... 另有 297 个

=== Auto vs opSparse:赢 227 / 输 91,几何均值(Auto/opSparse) 0.553× ===
  name                   n       C_nnz  opSparse      Auto    ratio
  wb-edu           9845725   630077764    91.272   774.224    8.48×
  webbase-1M       1000005    51111996    14.038    44.509    3.17×
  web-Google        916428    29710164     4.024    12.476    3.10×
  road_central    14081816    69990710     8.652    26.400    3.05×
  hugetrace-00020 16002413    99652167     9.142    27.503    3.01×
  hugebubbles-0002021198119   132690161    13.552    39.851    2.94×
  hugebubbles-0000018318143   113009849     9.906    28.823    2.91×
  hugebubbles-0001019458087   121526577    12.750    36.921    2.90×
  Cube_Coup_dt0    2164760   552667840   123.740   342.803    2.77×
  hugetrace-00010 12057441    74977771     7.248    19.746    2.72×
  kkt_power        2063494    93265642    10.147    27.323    2.69×
  hugetric-00010   6592765    41276239     4.596    12.111    2.64×
  hugetric-00020   7122792    44609736     4.993    13.055    2.61×
  germany_osm     11548845    42720261     5.755    13.649    2.37×
  rajat31          4690002    53118754     5.112    10.524    2.06×
  ... 另有 76 个

=== Auto vs HSMU:赢 300 / 输 37,几何均值(Auto/HSMU) 0.738× ===
  name                   n       C_nnz      HSMU      Auto    ratio
  c-big             345241   447991461    67.461   291.922    4.33×
  wb-edu           9845725   630077764   222.495   774.224    3.48×
