matrix,n,sym,density_pct,cu,Auto,Auto_choice,Ocean,opSparse,HSMU,bhSparse,dense,cublas,cnnz
crankseg_2,63838,Y,0.1744,DNF,56.772,hash,27.751,85.686,79.271,154.237,DNF(big),DNF(big),104590168
crplat2,18010,Y,0.1509,4.021,1.039,hash,0.991,2.2,1.735,2.073,1336.37,342.317,2722222
crystk02,13965,Y,0.2519,4.412,1.691,hash,1.233,2.439,2.175,3.399,632.359,166.862,3925701
crystk03,24696,Y,0.1456,6.908,2.407,hash,1.779,3.039,3.132,5.378,3416.48,848.252,7240266
ct20stif,52329,Y,0.0502,10.177,3.016,hash,2.208,3.846,4.244,8.034,DNF(big),DNF(big),10016951
delaunay_n21,2097152,Y,0.0001,5.251,6.283,hash,3.355,6.994,8.454,50.176,DNF(big),DNF(big),43417524
delaunay_n22,4194304,Y,0.0001,9.811,12.162,hash,6.539,13.168,14.629,97.786,DNF(big),DNF(big),86836968
delaunay_n23,8388608,Y,0.0,19.678,23.923,hash,12.937,25.189,24.387,254.176,DNF(big),DNF(big),173665202
delaunay_n24,16777216,Y,0.0,184.402,47.772,hash,25.639,49.653,53.988,383.822,DNF(big),DNF(big),347322258
dielFilterV2clx,607232,Y,0.0035,883.687,35.907,hash,26.677,30.782,36.905,89.048,DNF(big),DNF(big),177614928
dielFilterV2real,1157456,Y,0.0019,DNF,67.353,hash,48.444,55.322,65.576,155.251,DNF(big),DNF(big),325027200
dielFilterV3clx,420408,Y,0.0094,DNF,128.219,hash,43.882,73.311,74.297,159.309,DNF(big),DNF(big),247299354
dielFilterV3real,1102824,Y,0.0037,DNF,287.53,hash,156.043,204.656,206.522,439.344,DNF(big),DNF(big),688649400
email-Enron,36692,Y,0.0137,7.577,5.429,hash,3.552,28.644,10.883,53.334,11360.6,2896.9,30492154
eu-2005,862664,N,0.0026,DNF,62.439,hash,37.165,65.54,68.034,256.134,DNF(big),DNF(big),284177131
ex11,16614,N,0.3974,4.912,1.686,hash,1.347,1.901,2.375,3.798,1060.57,271.001,4517874
exdata_1,6001,Y,3.1594,DNF,14.516,hash,10.304,101.094,41.225,128.754,54.954,17.533,11275501
fcondp2,201822,Y,0.0141,416.684,9.178,hash,6.772,9.966,11.1,21.562,DNF(big),DNF(big),34783596
fem_filter,74062,N,0.0316,40.672,7.125,hash,3.266,7.002,6.491,19.101,DNF(big),DNF(big),8424292
fem_hifreq_circuit,491100,N,0.0084,575.367,25.136,hash,19.434,23.113,26.791,65.926,DNF(big),DNF(big),134838250
filter3D,106437,Y,0.0124,11.135,3.938,hash,2.675,3.538,4.621,11.44,DNF(big),DNF(big),20161619
fp,7548,N,1.4894,34.506,3.31,hash,3.176,6.938,7.162,18.946,101.261,28.107,12283169
fullb,199187,Y,0.015,461.363,10.958,hash,7.811,12.241,13.047,24.161,DNF(big),DNF(big),39383685
gearbox,153746,Y,0.0195,366.46,9.388,hash,6.503,10.212,10.575,21.148,DNF(big),DNF(big),32671334
germany_osm,11548845,Y,0.0,DNF,13.675,hash,5.337,5.755,21.725,222.637,DNF(big),DNF(big),42720261
gsm_106857,589446,Y,0.0032,552.388,27.441,hash,20.312,24.142,32.39,65.932,DNF(big),DNF(big),132397052
gupta1,31802,Y,0.1086,DNF,39.721,hash,48.89,839.806,72.941,4171.79,7312.05,1920.74,314251254
