matrix,n,sym,density_pct,cu,Auto,Auto_choice,Ocean,opSparse,HSMU,bhSparse,dense,cublas,cnnz
FEM_3D_thermal2,147900,N,0.016,11.633,2.672,hash,1.367,2.889,3.022,9.323,DNF(big),DNF(big),14335500
Fault_639,638802,Y,0.0036,952.56,25.212,hash,17.782,26.442,30.273,62.842,DNF(big),DNF(big),126633024
Flan_1565,1564794,Y,0.0024,DNF,137.36,hash,86.319,145.551,146.444,368.531,DNF(big),DNF(big),509685948
Freescale1,3428755,N,0.0002,6.943,9.272,hash,5.041,8.186,10.31,74.254,DNF(big),DNF(big),45276331
Ga10As10H30,113081,Y,0.0244,697.168,37.285,hash,12.511,36.747,33.894,99.592,DNF(big),DNF(big),75156365
Ga19As19H42,133123,Y,0.0254,1522.01,61.711,hash,19.549,57.473,57.385,160.773,DNF(big),DNF(big),108051533
Ga3As3H12,61349,Y,0.0801,DNF,81.89,hash,37.213,194.828,197.915,194.028,DNF(big),DNF(big),62181563
Ga41As41H72,268096,Y,0.013,DNF,134.056,hash,43.618,131.394,146.753,327.499,DNF(big),DNF(big),231455088
GaAsH6,61349,Y,0.0457,DNF,34.579,hash,14.589,67.906,70.59,84.388,DNF(big),DNF(big),37611445
Ge87H76,112985,Y,0.0314,1083.458,56.555,hash,15.474,42.207,42.436,108.043,DNF(big),DNF(big),99053985
Ge99H100,112985,Y,0.0335,1214.032,61.376,hash,16.75,46.63,46.335,113.504,DNF(big),DNF(big),105811785
Geo_1438,1437960,Y,0.0016,DNF,54.349,hash,37.71,56.305,63.744,139.03,DNF(big),DNF(big),274478976
H2O,67024,Y,0.0254,10.416,7.407,hash,3.791,3.918,4.972,9.834,DNF(big),DNF(big),27691996
HTC_336_4438,226340,Y,0.0011,42.121,25.614,hash,14.349,165.425,35.409,240.31,DNF(big),DNF(big),83300312
HTC_336_9129,226340,Y,0.0011,36.234,24.02,hash,13.288,142.394,31.274,212.479,DNF(big),DNF(big),73626380
Hook_1498,1498023,Y,0.0014,DNF,59.002,hash,40.873,54.165,66.963,160.937,DNF(big),DNF(big),312415749
Long_Coup_dt6,1470152,Y,0.002,DNF,94.159,hash,64.979,90.784,98.377,271.822,DNF(big),DNF(big),388670368
M6,3501776,Y,0.0001,8.464,9.627,hash,6.734,12.365,15.787,78.645,DNF(big),DNF(big),68984930
ML_Laplace,377002,N,0.0195,1464.63,38.872,hash,19.101,29.513,32.148,75.15,DNF(big),DNF(big),95882884
NLR,4163763,Y,0.0001,10.102,11.524,hash,8.14,15.16,19.678,97.85,DNF(big),DNF(big),82016497
Reuters911,13332,Y,0.0833,10.021,5.572,hash,2.81,24.52,11.026,39.494,549.902,140.129,22466996
Serena,1391349,Y,0.0017,DNF,63.816,hash,47.559,62.746,72.497,162.602,DNF(big),DNF(big),315805689
Si10H16,17077,Y,0.1531,8.991,5.468,hash,1.816,4.173,4.62,12.76,1142.68,297.641,10860573
Si34H36,97569,Y,0.0276,393.544,30.87,hash,9.504,21.749,22.838,70.89,DNF(big),DNF(big),65211697
Si41Ge41H72,185639,Y,0.022,DNF,123.61,hash,44.776,113.153,151.122,258.724,DNF(big),DNF(big),173776869
Si87H76,240369,Y,0.0094,513.306,48.828,hash,18.795,30.588,34.604,93.198,DNF(big),DNF(big),141319585
SiO,33401,Y,0.0606,17.725,6.972,hash,2.648,4.556,5.684,17.335,8470.36,2210.82,15778377
SiO2,155331,Y,0.0237,DNF,396.402,hash,236.564,2339.695,864.161,841.202,DNF(big),DNF(big),104839083
Stanford_Berkeley,683446,N,0.0016,45.694,122.461,hash,110.561,3400.627,203.79,6069.88,DNF(big),DNF(big),78130972
StocF-1465,1465137,Y,0.0005,41.102,21.724,hash,6.746,11.605,16.335,74.461,DNF(big),DNF(big),93163361
TSC_OPF_1047,8140,Y,1.5281,1115.778,5.818,hash,6.311,11.89,16.328,42.169,129.22,35.286,8833332
TSC_OPF_300,9774,Y,0.4347,315.346,5.611,hash,4.502,30.828,7.876,43.888,220.826,60.526,20082452
TSOPF_FS_b300,29214,Y,0.2582,DNF,154.625,hash,124.352,1015.752,204.186,2848.11,5714.96,1491.09,212471856
TSOPF_FS_b300_c2,56814,Y,0.136,DNF,,,399.97,DNF,752.995,DNF,DNF(big),DNF(big),
TSOPF_FS_b39_c7,28216,Y,0.0463,DNF,36.139,hash,20.955,713.073,41.216,2621.67,5140.71,1292.39,199299980
TSOPF_FS_b9_c6,14454,Y,0.0363,26.036,8.931,hash,3.637,101.408,8.046,92.515,700.562,182.804,52372050
TSOPF_RS_b2052_c1,25626,N,1.0296,9.076,15.692,hash,3.776,11.682,13.408,67.814,3862.77,1002.08,30950093
TSOPF_RS_b2383,38120,N,1.1128,19.261,33.015,hash,8.135,36.606,40.453,154.729,12652.6,3154.76,74318317
TSOPF_RS_b2383_c1,38120,N,1.1128,19.273,32.963,hash,8.219,37.3,40.418,154.606,12651.6,3156.11,74318317
TSOPF_RS_b678_c2,35696,N,0.6892,9.924,15.619,hash,3.542,13.06,14.974,60.093,10334.3,2430.81,40139105
Zd_Jac2,22835,N,0.3151,13.141,9.197,hash,2.351,7.394,9.747,28.993,2743.18,718.941,15374812
Zd_Jac2_db,22835,N,0.1297,5.67,3.052,hash,0.96,3.395,2.946,8.52,2742.71,717.631,4106845
Zd_Jac3,22835,N,0.3675,18.432,11.087,hash,3.148,9.302,13.236,35.07,2743.08,720.068,17998654
Zd_Jac3_db,22835,N,0.1369,6.272,2.825,hash,0.99,2.01,2.951,8.091,2744.32,718.785,4196061
Zd_Jac6,22835,N,0.3283,14.716,9.662,hash,2.541,7.297,9.982,31.615,2741.79,721.008,15542117
Zd_Jac6_db,22835,N,0.1273,4.797,2.54,hash,0.851,2.25,2.801,7.262,2740.92,716.495,3750374
a0nsdsil,80016,Y,0.0031,30.239,45.198,hash,15.894,265.523,19.06,368.477,DNF(big),DNF(big),175955042
a2nnsnsl,80016,Y,0.0031,27.854,42.512,hash,14.878,195.196,34.279,182.311,DNF(big),DNF(big),158275840
a5esindl,60008,Y,0.004,26.987,43.764,hash,10.288,357.361,16.318,1858.88,DNF(big),DNF(big),175505062
af_0_k101,503625,Y,0.0036,386.53,13.068,hash,7.683,9.384,12.432,31.298,DNF(big),DNF(big),47472025
af_1_k101,503625,Y,0.0036,387.063,13.106,hash,7.694,9.832,12.438,30.739,DNF(big),DNF(big),47472025
af_2_k101,503625,Y,0.0036,389.708,13.096,hash,7.669,9.5,12.399,31.662,DNF(big),DNF(big),47472025
af_3_k101,503625,Y,0.0036,382.231,13.078,hash,7.656,9.696,12.461,31.474,DNF(big),DNF(big),47472025
af_4_k101,503625,Y,0.0036,382.877,13.071,hash,7.657,9.703,12.474,31.426,DNF(big),DNF(big),47472025
af_5_k101,503625,Y,0.0036,385.302,13.14,hash,7.681,9.757,12.359,31.215,DNF(big),DNF(big),47472025
af_shell1,504855,Y,0.0035,395.016,81.528,hash,7.829,10.035,12.466,31.546,DNF(big),DNF(big),47560375
af_shell10,1508065,Y,0.0012,1388.177,33.926,hash,23.268,26.322,35.089,105.087,DNF(big),DNF(big),142742975
af_shell2,504855,Y,0.0035,374.179,12.242,hash,7.843,10.15,12.717,35.1,DNF(big),DNF(big),47560375
af_shell3,504855,Y,0.0035,380.474,12.269,hash,7.852,10.081,12.473,32.178,DNF(big),DNF(big),47560375
af_shell4,504855,Y,0.0035,391.451,12.289,hash,7.849,10.272,13.067,35.712,DNF(big),DNF(big),47560375
af_shell5,504855,Y,0.0035,320.108,12.286,hash,7.894,10.119,12.716,35.779,DNF(big),DNF(big),47560375
af_shell6,504855,Y,0.0035,389.639,12.286,hash,7.848,9.773,12.546,31.789,DNF(big),DNF(big),47560375
af_shell7,504855,Y,0.0035,378.542,12.263,hash,7.845,9.821,12.338,31.891,DNF(big),DNF(big),47560375
af_shell8,504855,Y,0.0035,382.025,12.259,hash,7.848,10.229,12.512,31.787,DNF(big),DNF(big),47560375
af_shell9,504855,Y,0.0035,331.816,12.282,hash,7.846,9.984,12.483,31.934,DNF(big),DNF(big),47560375
appu,14000,N,0.9455,39.873,11.311,hash,5.867,314.687,19.15,122.029,634.456,158.435,133137482
atmosmodd,1270432,N,0.0005,3.899,3.696,hash,2.106,5.373,7.399,28.816,DNF(big),DNF(big),31215208
atmosmodj,1270432,N,0.0005,3.914,3.687,hash,2.109,4.672,7.459,28.577,DNF(big),DNF(big),31215208
atmosmodl,1489752,N,0.0005,4.513,3.888,hash,2.43,5.834,8.005,32.869,DNF(big),DNF(big),36486008
atmosmodm,1489752,N,0.0005,4.59,3.914,hash,2.442,6.149,8.041,32.966,DNF(big),DNF(big),36486008
audikw_1,943695,Y,0.0044,DNF,,,95.674,179.904,186.552,480.563,DNF(big),DNF(big),
auto,448695,Y,0.0016,14.449,7.084,hash,2.83,5.198,8.469,25.959,DNF(big),DNF(big),33050793
av41092,41092,N,0.0997,9.56,11.954,hash,4.555,27.337,11.598,40.615,15837.5,4038.36,20880048
bbmat,38744,N,0.118,7.011,4.756,hash,2.137,3.951,3.739,10.48,13290.9,3343.29,11551062
