matrix,n,sym,density_pct,cu,Auto,Auto_choice,Ocean,opSparse,HSMU,bhSparse,dense,cublas,cnnz
li,22695,N,0.2622,6.468,3.285,hash,2.073,2.806,3.461,6.216,2692.31,708.534,8548665
lowThrust_10,18260,Y,0.0348,15.122,219.71,merge3(回退),3.512,96.605,6.227,87.773,1407.54,355.474,51144876
lowThrust_11,18368,Y,0.0347,15.367,241.552,merge3(回退),3.551,96.301,6.343,88.948,1412.25,334.08,51750248
lowThrust_12,18458,Y,0.0345,15.531,221.793,merge3(回退),3.035,100.702,8.568,89.362,1449.65,373.232,52253242
lowThrust_13,18476,Y,0.0344,15.591,227.488,merge3(回退),2.955,100.886,8.612,89.483,1451.45,368.388,52354998
lowThrust_4,13562,Y,0.0458,8.059,8.694,hash,2.302,40.578,4.763,46.91,577.304,151.613,28327028
lowThrust_5,16262,Y,0.0392,11.544,11.381,hash,3.08,67.958,5.589,62.13,997.093,260.001,40638712
lowThrust_6,16928,Y,0.0378,12.55,11.998,hash,2.681,75.622,7.677,65.373,1111.51,265.355,44013134
lowThrust_7,17378,Y,0.0366,13.256,203.045,merge3(回退),3.402,81.1,6.949,68.754,1211.43,311.633,46358098
lowThrust_8,17702,Y,0.0361,13.785,221.37,merge3(回退),3.02,86.758,5.705,84.369,1280.63,330.154,48095374
lowThrust_9,18044,Y,0.0353,14.601,220.26,merge3(回退),3.106,92.529,5.881,86.142,1346.22,341.468,49951688
m14b,214765,Y,0.0036,8.018,3.18,hash,1.457,3.598,4.06,12.063,DNF(big),DNF(big),16384417
m_t1,97578,Y,0.0517,687.867,15.555,hash,9.146,13.698,15.608,30.514,DNF(big),DNF(big),36533142
mixtank_new,29957,N,0.2223,12.127,6.048,hash,2.836,4.315,4.767,9.009,6177.95,1622.07,11989523
mono_500Hz,169410,N,0.0175,24.386,8.233,hash,4.681,6.684,9.004,23.772,DNF(big),DNF(big),41377964
mouse_gene,45101,Y,0.7132,DNF,,,1721.526,DNF,2882.645,DNF,20911.8,5498.58,
msc10848,10848,Y,0.5271,9.08,6.131,hash,2.223,4.359,5.278,11.604,295.55,72.233,6185646
msc23052,23052,Y,0.1108,5.351,1.438,hash,1.211,2.285,2.388,3.658,2821.79,712.738,3646256
msdoor,415863,Y,0.006,666.567,18.216,hash,11.838,17.099,20.15,41.413,DNF(big),DNF(big),62822459
mult_dcop_01,25187,N,0.0305,152.768,,,12.296,DNF,27.969,DNF,3664.71,987.134,
mult_dcop_02,25187,N,0.0305,97.578,,,12.024,DNF,28.369,DNF,3694.3,985.437,
mult_dcop_03,25187,N,0.0305,98.104,,,11.979,DNF,27.776,DNF,3697.05,986.484,
nasasrb,54870,Y,0.0454,9.599,2.789,hash,1.884,2.893,3.496,6.991,DNF(big),DNF(big),8334386
nd12k,36000,Y,0.55,DNF,,,34.059,102.99,87.034,224.21,10588.9,2456.75,
nd24k,72000,Y,0.2777,DNF,,,79.679,212.014,179.094,455.405,DNF(big),DNF(big),
nd3k,9000,Y,2.0301,846.799,116.934,merge3(回退),7.128,16.912,18.669,49.376,170.384,45.282,18491738
nd6k,18000,Y,1.0672,DNF,,,14.521,44.804,41.358,106.202,1327.35,317.857,
nemeth01,9506,Y,0.4064,2.868,0.75,hash,0.742,1.643,1.573,2.223,200.902,54.717,1721872
nemeth18,9506,Y,0.3899,2.924,0.758,hash,0.715,1.962,1.471,2.022,200.491,54.71,1465122
nemeth19,9506,Y,0.458,3.188,0.834,hash,0.821,1.766,1.673,2.459,200.839,54.585,1784266
nemeth20,9506,Y,0.543,4.137,1.049,hash,0.949,1.677,2.005,2.879,201.205,54.766,2172140
nemeth21,9506,Y,0.6547,5.355,1.441,hash,1.191,1.793,2.604,4.475,200.951,54.782,2580092
nemeth22,9506,Y,0.7571,8.473,1.835,hash,1.35,2.575,3.064,5.769,200.807,54.823,3059696
nemeth23,9506,Y,0.839,10.254,2.488,hash,1.482,2.441,3.513,6.62,200.665,54.73,3441280
nemeth24,9506,Y,0.8389,10.359,2.459,hash,1.477,2.692,3.537,6.647,200.702,54.887,3486190
nemeth25,9506,Y,0.8417,10.455,2.48,hash,1.475,2.997,3.527,6.616,200.693,54.8,3486190
nemeth26,9506,Y,0.8417,10.504,2.488,hash,1.48,3.218,3.558,6.676,200.839,54.74,3486190
net100,29920,Y,0.1152,24.094,30.483,hash,7.882,203.364,19.828,84.118,6094.74,1417.72,121212652
net125,36720,Y,0.0969,35.716,38.162,hash,10.783,334.029,27.332,129.289,11240.8,2646.85,175086502
net150,43520,Y,0.0835,208.455,53.371,hash,15.487,525.461,43.124,203.494,18689.0,4323.79,238012852
net50,16320,Y,0.1805,8.938,14.351,hash,3.423,29.994,14.196,25.813,991.386,235.617,40622452
net75,23120,Y,0.1415,15.554,20.627,hash,4.509,91.788,17.971,53.212,2820.84,670.063,76391302
nlpkkt120,3542400,Y,0.0004,DNF,73.884,hash,44.532,58.176,84.423,269.662,DNF(big),DNF(big),523114664
nlpkkt80,1062400,Y,0.0013,448.055,37.507,hash,13.76,18.73,25.815,79.767,DNF(big),DNF(big),154663144
ns3Da,20414,N,0.403,14.168,22.588,merge3(回退),3.049,5.869,6.404,11.941,1931.54,494.49,12454346
offshore,259789,Y,0.0033,10.476,3.841,hash,2.084,4.777,4.965,20.639,DNF(big),DNF(big),23356245
ohne2,181343,N,0.0336,463.199,309.763,merge3(回退),12.037,27.845,34.362,82.546,DNF(big),DNF(big),72432047
oilpan,73752,Y,0.0337,13.266,2.891,hash,2.504,3.994,4.323,6.86,DNF(big),DNF(big),11609864
olafu,16146,Y,0.1978,5.159,1.251,hash,1.325,2.492,2.218,3.694,976.162,251.151,3388252
opt1,15449,Y,0.4077,12.882,17.959,merge3(回退),2.593,4.543,5.519,11.238,855.636,225.07,8224575
para-10,155924,N,0.0223,29.898,30.114,hash,7.834,106.531,24.334,91.156,DNF(big),DNF(big),78088896
para-4,153226,N,0.0227,27.35,22.827,hash,6.618,64.508,20.97,74.417,DNF(big),DNF(big),61572410
para-5,155924,N,0.0223,32.047,30.106,hash,7.829,106.503,25.046,91.702,DNF(big),DNF(big),78088896
para-6,155924,N,0.0223,29.645,30.167,hash,7.828,108.049,24.431,95.885,DNF(big),DNF(big),78088896
para-7,155924,N,0.0223,29.923,30.117,hash,7.866,106.833,23.776,93.374,DNF(big),DNF(big),78088896
para-8,155924,N,0.0223,30.12,30.139,hash,8.025,106.536,24.635,95.457,DNF(big),DNF(big),78088896
para-9,155924,N,0.0223,29.615,29.943,hash,7.788,105.553,24.466,90.804,DNF(big),DNF(big),78088896
patents,3774768,N,0.0001,DNF,37.136,hash,7.917,8.605,19.353,110.213,DNF(big),DNF(big),58921527
pattern1,19242,Y,1.2617,DNF,,,76.301,706.58,286.062,1431.44,1648.8,426.918,
pcrystk02,13965,Y,0.2519,4.781,1.782,hash,1.314,3.554,2.228,3.715,636.691,167.882,3925701
pcrystk03,24696,Y,0.1456,7.919,2.362,hash,1.853,3.733,3.464,5.905,3439.38,850.546,7240266
pct20stif,52329,Y,0.0502,10.859,2.885,hash,2.285,3.891,4.346,8.774,DNF(big),DNF(big),10016951
pdb1HYS,36417,Y,0.1652,360.4,14.996,hash,5.082,7.914,9.543,19.186,11048.8,2895.81,19594581
pf2177,9728,Y,0.3883,7.658,10.806,hash,1.974,8.989,7.517,16.539,214.548,54.107,19921122
pkustk01,22044,Y,0.103,4.805,1.614,hash,1.285,2.007,2.397,4.509,2456.97,626.423,3736764
pkustk02,10800,Y,0.3519,4.447,1.194,hash,1.26,2.638,2.322,3.251,291.241,72.68,2493288
pkustk03,63336,Y,0.0398,11.199,3.124,hash,2.22,4.603,3.93,8.53,DNF(big),DNF(big),8924832
pkustk04,55590,Y,0.0692,592.368,76.176,hash,17.036,129.595,72.762,119.7,DNF(big),DNF(big),164709684
pkustk05,37164,Y,0.0812,9.031,3.18,hash,2.206,3.704,4.065,8.457,11678.4,2980.53,9019080
pkustk06,43164,Y,0.0702,10.534,3.55,hash,2.539,5.396,4.359,9.051,18255.0,4675.81,10596384
pkustk07,16860,Y,0.4284,22.506,35.232,merge3(回退),3.737,6.357,8.278,15.826,1103.47,279.91,13944528
pkustk08,22209,Y,0.3293,355.723,47.014,merge3(回退),4.706,9.359,10.795,20.053,2522.07,666.905,18895419
pkustk09,33960,Y,0.0701,6.48,1.735,hash,1.365,3.132,2.554,4.444,8908.21,2224.62,4479768
pkustk10,80676,Y,0.0337,15.436,4.223,hash,2.927,5.454,4.774,9.164,DNF(big),DNF(big),12233304
