matrix,n,sym,density_pct,merge3,Auto,Auto_choice,Ocean,HSMU,opSparse,cnnz
bcsstk13,2003,Y,1.0704,0.617,0.844,hash,0.667,0.889,0.967,396773
bcsstk14,1806,Y,1.0004,0.323,0.456,hash,0.464,0.499,0.94,195654
bcsstk15,3948,Y,0.3906,0.408,0.283,hash,0.407,0.699,0.829,527688
bcsstk16,4884,Y,0.6189,1.259,0.49,hash,0.829,1.452,0.999,1038782
bcsstk17,10974,Y,0.1825,1.199,0.615,hash,0.773,1.723,1.172,1406936
bcsstk18,11948,Y,0.0564,0.511,0.383,hash,0.43,1.226,0.823,713208
bcsstk19,817,Y,0.5745,0.131,0.122,merge3,0.321,0.317,0.971,18305
bcsstk20,485,Y,0.7695,0.157,0.126,merge3,0.208,0.314,0.615,5545
bcsstk21,3600,Y,0.1165,0.211,0.191,merge3,0.183,0.405,0.792,93072
bcsstk22,138,Y,2.1897,0.118,0.117,merge3,0.217,0.233,0.754,1552
bcsstk23,3134,Y,0.2459,0.246,0.254,merge3,0.372,0.555,0.716,220632
bcsstk24,3562,Y,0.6442,0.454,0.359,hash,0.584,0.912,1.05,446474
bcsstk25,15439,Y,0.0561,0.747,0.427,hash,0.472,1.474,1.19,1168919
bcsstk26,1922,Y,0.4366,0.192,0.193,merge3,0.361,0.525,0.707,92530
bcsstk27,1224,Y,1.914,0.305,0.457,hash,0.549,0.563,0.884,138106
bcsstk28,4410,Y,0.5744,0.624,0.444,hash,0.738,1.344,1.332,596072
bcsstk29,13992,Y,0.1618,1.429,0.762,hash,0.974,1.763,1.475,1965686
bcsstk30,28924,Y,0.1239,11.28,2.731,hash,2.371,4.603,3.145,8946070
bcsstk31,35588,Y,0.048,3.104,1.237,hash,1.301,2.723,2.624,4713580
bcsstk32,44609,Y,0.0517,5.626,1.951,hash,1.817,3.759,2.271,6819653
bcsstk33,8738,Y,0.3933,2.755,0.906,hash,1.827,1.941,1.44,2569536
bcsstm01,48,Y,2.0833,0.101,0.128,merge3,0.134,0.276,0.928,48
bcsstm02,66,Y,1.5152,0.111,0.11,merge3,0.174,0.287,1.555,66
bcsstm03,112,Y,0.8929,0.112,0.111,merge3,0.16,0.286,0.853,112
bcsstm04,132,Y,0.7576,0.11,0.114,merge3,0.161,0.283,0.664,132
bcsstm05,153,Y,0.6536,0.101,0.112,merge3,0.21,0.386,1.267,153
bcsstm06,420,Y,0.2381,0.113,0.135,merge3,0.175,0.288,1.345,420
bcsstm07,420,Y,2.1746,0.143,0.166,merge3,0.319,0.272,0.806,22972
bcsstm08,1074,Y,0.0931,0.118,0.119,merge3,0.163,0.297,0.54,1074
bcsstm09,1083,Y,0.0923,0.119,0.111,merge3,0.176,0.313,0.909,1083
bcsstm10,1086,Y,0.9826,0.181,0.195,merge3,0.512,0.362,0.577,54504
bcsstm11,1473,Y,0.0679,0.131,0.119,merge3,0.14,0.231,0.572,1473
bcsstm12,1473,Y,0.487,0.17,0.176,merge3,0.347,0.277,0.752,53615
bcsstm13,2003,Y,0.2984,0.325,0.357,hash,0.429,0.555,0.711,90811
bcsstm19,817,Y,0.1224,0.11,0.094,merge3,0.162,0.299,0.925,817
bcsstm20,485,Y,0.2062,0.113,0.122,merge3,0.178,0.308,0.866,485
bcsstm21,3600,Y,0.0278,0.172,0.158,merge3,0.167,0.459,0.551,3600
bcsstm22,138,Y,0.7246,0.103,0.112,merge3,0.176,0.293,0.761,138
bcsstm23,3134,Y,0.0319,0.142,0.145,merge3,0.18,0.496,1.005,3134
bcsstm24,3562,Y,0.0281,0.146,0.146,merge3,0.179,0.5,1.007,3562
bcsstm25,15439,Y,0.0065,0.284,0.266,merge3,0.177,0.504,0.553,15439
bcsstm26,1922,Y,0.052,0.121,0.134,merge3,0.176,0.317,1.441,1922
bcsstm27,1224,Y,1.914,0.31,0.504,hash,0.545,0.687,1.585,138106
blckhole,2132,Y,0.187,0.193,0.165,merge3,0.271,0.505,0.508,41546
bp_0,822,N,0.4848,0.4,0.323,hash,0.25,0.441,0.58,9384
bp_1000,822,N,0.6898,0.435,0.371,hash,0.223,0.491,0.66,21373
bp_1200,822,N,0.6994,0.46,0.412,hash,0.264,0.49,1.416,22313
bp_1400,822,N,0.7089,0.452,0.388,hash,0.247,0.486,1.492,23154
bp_1600,822,N,0.7165,0.451,0.416,hash,0.23,0.491,0.675,23625
bp_200,822,N,0.5627,0.422,0.346,hash,0.261,0.462,0.873,13197
bp_400,822,N,0.5961,0.45,0.369,hash,0.258,0.473,1.357,15238
bp_600,822,N,0.6174,0.452,0.348,hash,0.262,0.497,0.856,16464
bp_800,822,N,0.671,0.45,0.409,hash,0.259,0.512,1.049,20224
can_1054,1054,Y,0.5964,0.183,0.196,merge3,0.367,0.349,0.6,60248
can_1072,1072,Y,0.5881,0.181,0.185,merge3,0.371,0.341,1.702,62316
can_144,144,Y,3.4722,0.128,0.153,merge3,0.663,0.248,0.699,3456
can_161,161,Y,2.9667,0.183,0.129,merge3,0.337,0.318,1.442,3761
can_187,187,Y,2.3993,0.145,0.13,merge3,0.327,0.331,1.672,3719
can_229,229,Y,1.9126,0.153,0.15,merge3,0.298,0.316,0.705,5017
can_24,24,Y,15.9722,0.118,0.124,merge3,0.192,0.222,0.593,336
can_256,256,Y,2.42,0.178,0.176,merge3,0.354,0.377,2.086,18568
can_268,268,Y,2.3321,0.159,0.157,merge3,0.346,0.328,0.607,15590
can_292,292,Y,1.6607,0.126,0.134,merge3,0.271,0.335,0.617,11670
can_445,445,Y,1.0741,0.179,0.132,merge3,0.314,0.244,0.951,11193
can_61,61,Y,8.3042,0.109,0.119,merge3,0.255,0.299,0.531,1793
can_62,62,Y,3.642,0.127,0.115,merge3,0.199,0.312,1.52,482
can_634,634,Y,0.978,0.147,0.15,merge3,0.337,0.325,1.207,25446
can_715,715,Y,0.7218,0.272,0.259,hash,0.387,0.379,1.432,39785
can_73,73,Y,4.2222,0.127,0.124,merge3,0.207,0.305,0.896,1377
can_838,838,Y,0.7724,0.145,0.141,merge3,0.328,0.272,0.649,51156
can_96,96,Y,4.6875,0.117,0.103,merge3,0.256,0.283,0.848,1920
