matrix,n,sym,density_pct,cu,serial,merge3,Auto,Auto_choice,Ocean,HSMU,cnnz
bcsstk08,1074,Y,0.6083,1.146,21.776,1.248,2.552,hash,0.46,0.959,305612
bcsstk09,1083,Y,0.8321,0.59,1.291,0.353,0.358,merge3,0.366,0.371,71289
bcsstk10,1086,Y,0.9817,0.792,1.206,0.395,0.228,merge3,0.535,0.393,54504
bcsstk11,1473,Y,0.823,0.973,1.671,0.333,0.416,merge3,0.571,0.658,94187
bcsstk12,1473,Y,0.823,0.729,1.658,0.419,0.397,merge3,0.539,0.666,94187
bcsstk13,2003,Y,1.0704,1.453,7.204,1.331,1.353,merge3,0.743,1.135,396773
bcsstk14,1806,Y,1.0004,1.268,2.754,0.643,0.788,merge3,0.594,0.604,195654
bcsstk15,3948,Y,0.3906,1.709,3.099,1.059,0.987,merge3,0.459,0.838,527688
bcsstk16,4884,Y,0.6189,2.578,9.786,2.261,2.302,merge3,0.875,1.52,1038782
bcsstk17,10974,Y,0.1825,3.272,11.056,2.359,3.013,hash,0.922,1.857,1406936
bcsstk18,11948,Y,0.0564,1.555,3.033,1.178,2.437,hash,0.459,1.268,713208
bcsstk19,817,Y,0.5745,0.66,0.524,0.265,0.297,merge3,0.373,0.354,18305
bcsstk20,485,Y,0.7695,0.509,0.495,0.245,0.309,merge3,0.222,0.353,5545
bcsstk21,3600,Y,0.1165,0.79,0.862,0.37,0.358,merge3,0.227,0.477,93072
bcsstk22,138,Y,2.1897,0.628,0.236,0.279,0.287,merge3,0.224,0.312,1552
bcsstk23,3134,Y,0.2459,1.089,2.053,0.675,0.685,merge3,0.414,0.633,220632
bcsstk24,3562,Y,0.6442,1.823,4.161,1.022,1.119,merge3,0.676,1.105,446474
bcsstk25,15439,Y,0.0561,1.851,4.684,1.601,2.502,hash,0.502,1.63,1168919
bcsstk26,1922,Y,0.4366,0.951,1.557,0.359,0.376,merge3,0.386,0.62,92530
bcsstk27,1224,Y,1.914,1.151,2.828,0.621,0.688,merge3,0.542,0.772,138106
bcsstk28,4410,Y,0.5744,2.094,6.334,1.384,1.393,merge3,0.779,1.461,596072
bcsstk29,13992,Y,0.1618,4.111,10.973,2.591,3.589,hash,1.017,1.844,1965686
bcsstk30,28924,Y,0.1239,10.922,89.523,17.207,12.578,hash,2.497,4.946,8946070
bcsstk31,35588,Y,0.048,6.603,21.711,5.124,5.944,hash,1.37,2.917,4713580
bcsstk32,44609,Y,0.0517,10.121,38.542,8.261,8.027,hash,1.874,6.01,6819653
bcsstk33,8738,Y,0.3933,3.975,22.066,4.613,4.234,hash,1.657,2.098,2569536
bcsstm01,48,Y,2.0833,0.401,0.438,0.282,0.126,merge3,0.168,0.314,48
bcsstm02,66,Y,1.5152,0.39,0.438,0.137,0.273,merge3,0.187,0.314,66
bcsstm03,112,Y,0.8929,0.617,0.428,0.272,0.266,merge3,0.183,0.306,112
bcsstm04,132,Y,0.7576,0.627,0.204,0.124,0.125,merge3,0.189,0.311,132
bcsstm05,153,Y,0.6536,0.401,0.19,0.126,0.131,merge3,0.196,0.316,153
bcsstm06,420,Y,0.2381,0.605,0.258,0.27,0.263,merge3,0.179,0.307,420
bcsstm07,420,Y,2.1746,0.698,1.014,0.337,0.35,merge3,0.349,0.368,22972
bcsstm08,1074,Y,0.0931,0.607,0.393,0.138,0.137,merge3,0.184,0.348,1074
bcsstm09,1083,Y,0.0923,0.598,0.311,0.129,0.142,merge3,0.182,0.334,1083
bcsstm10,1086,Y,0.9826,0.634,1.455,0.392,0.388,merge3,0.501,0.398,54504
bcsstm11,1473,Y,0.0679,0.486,0.451,0.294,0.287,merge3,0.18,0.339,1473
bcsstm12,1473,Y,0.487,0.767,1.261,0.353,0.223,merge3,0.379,0.385,53615
bcsstm13,2003,Y,0.2984,0.834,3.482,0.56,0.439,merge3,0.47,0.808,90811
bcsstm19,817,Y,0.1224,0.556,0.215,0.132,0.133,merge3,0.191,0.333,817
bcsstm20,485,Y,0.2062,0.414,0.436,0.125,0.267,merge3,0.138,0.334,485
bcsstm21,3600,Y,0.0278,0.438,0.448,0.308,0.299,merge3,0.167,0.647,3600
bcsstm22,138,Y,0.7246,0.633,0.422,0.264,0.138,merge3,0.183,0.326,138
bcsstm23,3134,Y,0.0319,0.502,0.464,0.228,0.289,merge3,0.184,0.645,3134
bcsstm24,3562,Y,0.0281,0.624,0.224,0.303,0.14,merge3,0.186,0.581,3562
bcsstm25,15439,Y,0.0065,0.645,0.318,0.39,1.592,hash,0.195,0.519,15439
bcsstm26,1922,Y,0.052,0.581,0.456,0.289,0.238,merge3,0.185,0.344,1922
bcsstm27,1224,Y,1.914,1.064,2.946,0.686,0.519,merge3,0.579,0.814,138106
blckhole,2132,Y,0.187,0.752,0.844,0.381,0.369,merge3,0.23,0.596,41546
bp_0,822,N,0.4848,0.433,11.469,0.632,1.093,hash,0.258,0.506,9384
bp_1000,822,N,0.6898,0.672,17.879,0.874,1.449,hash,0.264,0.529,21373
bp_1200,822,N,0.6994,0.468,18.129,0.841,1.345,hash,0.267,0.508,22313
bp_1400,822,N,0.7089,0.639,17.975,0.845,1.416,hash,0.272,0.519,23154
bp_1600,822,N,0.7165,0.677,17.623,0.858,1.382,hash,0.273,0.514,23625
bp_200,822,N,0.5627,0.596,14.231,0.825,1.284,hash,0.262,0.517,13197
bp_400,822,N,0.5961,0.646,15.561,0.87,1.296,hash,0.259,0.498,15238
bp_600,822,N,0.6174,0.557,16.77,0.816,1.083,hash,0.267,0.498,16464
bp_800,822,N,0.671,0.65,17.222,0.743,1.316,hash,0.268,0.503,20224
can_1054,1054,Y,0.5964,0.776,1.021,0.279,0.215,merge3,0.372,0.367,60248
can_1072,1072,Y,0.5881,0.617,1.471,0.389,0.367,merge3,0.376,0.369,62316
can_144,144,Y,3.4722,0.399,0.274,0.283,0.149,merge3,0.328,0.338,3456
can_161,161,Y,2.9667,0.405,0.523,0.294,0.202,merge3,0.338,0.335,3761
can_187,187,Y,2.3993,0.65,0.489,0.144,0.299,merge3,0.352,0.324,3719
can_229,229,Y,1.9126,0.62,0.535,0.34,0.289,merge3,0.327,0.338,5017
can_24,24,Y,15.9722,0.56,0.493,0.262,0.272,merge3,0.206,0.328,336
can_256,256,Y,2.42,0.664,2.188,0.371,0.232,merge3,0.359,0.385,18568
can_268,268,Y,2.3321,0.448,1.006,0.314,0.342,merge3,0.348,0.358,15590
can_292,292,Y,1.6607,0.662,0.806,0.312,0.308,merge3,0.371,0.357,11670
can_445,445,Y,1.0741,0.625,0.533,0.157,0.167,merge3,0.352,0.324,11193
can_61,61,Y,8.3042,0.443,0.381,0.28,0.305,merge3,0.325,0.309,1793
can_62,62,Y,3.642,0.633,0.467,0.244,0.136,merge3,0.199,0.316,482
can_634,634,Y,0.978,0.709,0.756,0.328,0.171,merge3,0.366,0.372,25446
can_715,715,Y,0.7218,0.745,2.358,0.553,0.58,merge3,0.383,0.393,39785
can_73,73,Y,4.2222,0.606,0.258,0.287,0.294,merge3,0.205,0.314,1377
can_838,838,Y,0.7724,0.741,1.091,0.332,0.193,merge3,0.362,0.367,51156
can_96,96,Y,4.6875,0.614,0.491,0.276,0.285,merge3,0.342,0.328,1920
