matrix,n,sym,density_pct,cu,serial,merge3,Auto,Auto_choice,Ocean,HSMU,cnnz
bcsstm27,1224,Y,1.914,0.881,2.888,0.698,0.663,merge3,0.55,0.814,138106
blckhole,2132,Y,0.187,0.752,0.85,0.228,0.341,merge3,0.231,0.625,41546
bp_0,822,N,0.4848,0.662,11.645,0.789,1.007,hash,0.284,0.496,9384
bp_1000,822,N,0.6898,0.471,17.969,0.699,1.3,hash,0.264,0.509,21373
bp_1200,822,N,0.6994,0.668,18.245,0.859,1.234,hash,0.28,0.52,22313
bp_1400,822,N,0.7089,0.653,18.083,0.702,1.188,hash,0.269,0.516,23154
bp_1600,822,N,0.7165,0.637,17.738,0.866,1.393,hash,0.292,0.515,23625
bp_200,822,N,0.5627,0.619,14.347,0.663,1.255,hash,0.26,0.503,13197
bp_400,822,N,0.5961,0.437,15.696,0.889,1.279,hash,0.273,0.51,15238
bp_600,822,N,0.6174,0.655,16.792,0.686,1.34,hash,0.276,0.517,16464
bp_800,822,N,0.671,0.639,17.391,0.801,1.365,hash,0.264,0.495,20224
can_1054,1054,Y,0.5964,0.559,1.243,0.36,0.364,merge3,0.377,0.375,60248
can_1072,1072,Y,0.5881,0.757,1.211,0.386,0.22,merge3,0.361,0.362,62316
can_144,144,Y,3.4722,0.569,0.286,0.293,0.147,merge3,0.328,0.33,3456
can_161,161,Y,2.9667,0.632,0.524,0.164,0.168,merge3,0.351,0.345,3761
can_187,187,Y,2.3993,0.526,0.429,0.141,0.269,merge3,0.341,0.331,3719
can_229,229,Y,1.9126,0.405,0.308,0.17,0.175,merge3,0.328,0.34,5017
can_24,24,Y,15.9722,0.65,0.476,0.269,0.136,merge3,0.199,0.313,336
can_256,256,Y,2.42,0.639,2.246,0.227,0.233,merge3,0.355,0.377,18568
can_268,268,Y,2.3321,0.643,0.755,0.341,0.332,merge3,0.386,0.356,15590
can_292,292,Y,1.6607,0.433,0.806,0.304,0.16,merge3,0.345,0.364,11670
can_445,445,Y,1.0741,0.633,0.552,0.296,0.164,merge3,0.331,0.338,11193
can_61,61,Y,8.3042,0.428,0.621,0.284,0.277,merge3,0.328,0.354,1793
can_62,62,Y,3.642,0.415,0.228,0.287,0.124,merge3,0.211,0.304,482
can_634,634,Y,0.978,0.737,0.747,0.326,0.279,merge3,0.382,0.382,25446
can_715,715,Y,0.7218,0.49,2.155,0.415,0.561,merge3,0.414,0.413,39785
can_73,73,Y,4.2222,0.638,0.505,0.292,0.288,merge3,0.214,0.323,1377
can_838,838,Y,0.7724,0.759,0.867,0.184,0.186,merge3,0.382,0.37,51156
can_96,96,Y,4.6875,0.625,0.463,0.285,0.274,merge3,0.326,0.325,1920
