matrix,n,sym,density_pct,cu,serial,merge3,Auto,Auto_choice,Ocean,HSMU,cnnz
bcsstk04,132,Y,10.8471,0.374,1.034,0.163,0.142,merge3,0.383,0.311,11968
bcsstk05,153,Y,5.5022,0.329,0.339,0.126,0.145,merge3,0.277,0.263,7245
bcsstk06,420,Y,2.3469,0.387,0.528,0.151,0.145,merge3,0.275,0.283,23660
bcsstk07,420,Y,2.3469,0.379,0.54,0.144,0.145,merge3,0.283,0.279,23660
bcsstk08,1074,Y,0.6083,0.605,20.715,1.008,1.021,merge3,0.361,0.69,305612
bcsstk09,1083,Y,0.8321,0.389,0.703,0.17,0.167,merge3,0.279,0.269,71289
bcsstk10,1086,Y,0.9817,0.386,0.812,0.189,0.182,merge3,0.393,0.301,54504
bcsstk11,1473,Y,0.823,0.49,0.92,0.203,0.207,merge3,0.429,0.438,94187
bcsstk12,1473,Y,0.823,0.514,0.919,0.203,0.206,merge3,0.424,0.438,94187
bcsstk13,2003,Y,1.0704,0.851,5.821,0.925,0.916,merge3,0.59,0.766,396773
bcsstk14,1806,Y,1.0004,0.751,1.707,0.46,0.527,merge3,0.6,0.543,195654
bcsstk15,3948,Y,0.3906,1.1,2.241,0.657,0.648,merge3,0.366,0.576,527688
bcsstk16,4884,Y,0.6189,1.71,8.641,1.743,1.76,merge3,0.825,1.434,1038782
bcsstk17,10974,Y,0.1825,2.386,9.601,1.737,1.747,merge3,0.701,1.525,1406936
bcsstk18,11948,Y,0.0564,0.794,2.188,0.764,0.784,merge3,0.384,1.055,713208
bcsstk19,817,Y,0.5745,0.308,0.203,0.117,0.122,merge3,0.276,0.255,18305
bcsstk20,485,Y,0.7695,0.298,0.204,0.113,0.117,merge3,0.182,0.251,5545
bcsstk21,3600,Y,0.1165,0.47,0.463,0.203,0.178,merge3,0.224,0.423,93072
bcsstk22,138,Y,2.1897,0.307,0.18,0.112,0.109,merge3,0.177,0.224,1552
bcsstk23,3134,Y,0.2459,0.681,1.56,0.409,0.396,merge3,0.294,0.42,220632
bcsstk24,3562,Y,0.6442,1.145,3.022,0.7,0.685,merge3,0.5,0.775,446474
bcsstk25,15439,Y,0.0561,1.035,3.414,1.115,1.117,merge3,0.404,1.228,1168919
bcsstk26,1922,Y,0.4366,0.476,1.001,0.194,0.195,merge3,0.309,0.405,92530
bcsstk27,1224,Y,1.914,0.687,1.948,0.409,0.413,merge3,0.436,0.547,138106
bcsstk28,4410,Y,0.5744,1.347,5.012,1.041,0.966,merge3,0.617,1.221,596072
bcsstk29,13992,Y,0.1618,2.952,9.572,1.986,1.995,merge3,0.976,1.764,1965686
bcsstk30,28924,Y,0.1239,8.959,87.598,15.969,7.673,hash,2.293,4.465,8946070
bcsstk31,35588,Y,0.048,5.183,19.567,4.312,4.283,merge3,1.166,2.445,4713580
bcsstk32,44609,Y,0.0517,8.572,36.768,7.117,7.158,merge3,1.683,3.429,6819653
bcsstk33,8738,Y,0.3933,2.958,20.269,3.936,3.824,merge3,1.446,1.754,2569536
bcsstm01,48,Y,2.0833,0.282,0.148,0.091,0.093,merge3,0.137,0.213,48
bcsstm02,66,Y,1.5152,0.297,0.154,0.093,0.092,merge3,0.138,0.218,66
bcsstm03,112,Y,0.8929,0.283,0.145,0.092,0.09,merge3,0.141,0.218,112
bcsstm04,132,Y,0.7576,0.321,0.155,0.092,0.129,merge3,0.174,0.217,132
bcsstm05,153,Y,0.6536,0.339,0.148,0.094,0.132,merge3,0.143,0.22,153
bcsstm06,420,Y,0.2381,0.308,0.147,0.1,0.101,merge3,0.143,0.221,420
bcsstm07,420,Y,2.1746,0.386,0.538,0.143,0.146,merge3,0.277,0.28,22972
bcsstm08,1074,Y,0.0931,0.309,0.159,0.101,0.1,merge3,0.145,0.229,1074
bcsstm09,1083,Y,0.0923,0.32,0.157,0.1,0.106,merge3,0.143,0.222,1083
bcsstm10,1086,Y,0.9826,0.396,0.881,0.192,0.182,merge3,0.392,0.298,54504
bcsstm11,1473,Y,0.0679,0.302,0.156,0.104,0.102,merge3,0.143,0.227,1473
bcsstm12,1473,Y,0.487,0.385,0.618,0.166,0.175,merge3,0.28,0.278,53615
bcsstm13,2003,Y,0.2984,0.499,2.583,0.359,0.339,merge3,0.377,0.465,90811
bcsstm19,817,Y,0.1224,0.307,0.151,0.099,0.109,merge3,0.143,0.229,817
bcsstm20,485,Y,0.2062,0.292,0.16,0.095,0.1,merge3,0.141,0.218,485
bcsstm21,3600,Y,0.0278,0.342,0.175,0.138,0.12,merge3,0.144,0.376,3600
bcsstm22,138,Y,0.7246,0.302,0.154,0.095,0.113,merge3,0.143,0.207,138
bcsstm23,3134,Y,0.0319,0.312,0.183,0.117,0.137,merge3,0.144,0.368,3134
bcsstm24,3562,Y,0.0281,0.381,0.167,0.133,0.116,merge3,0.137,0.361,3562
bcsstm25,15439,Y,0.0065,0.313,0.199,0.209,0.202,merge3,0.152,0.376,15439
bcsstm26,1922,Y,0.052,0.305,0.163,0.106,0.107,merge3,0.145,0.239,1922
bcsstm27,1224,Y,1.914,0.645,1.949,0.413,0.405,merge3,0.435,0.561,138106
blckhole,2132,Y,0.187,0.374,0.43,0.171,0.171,merge3,0.187,0.382,41546
bp_0,822,N,0.4848,0.319,11.074,0.561,0.563,merge3,0.213,0.376,9384
bp_1000,822,N,0.6898,0.355,17.344,0.644,0.681,merge3,0.259,0.489,21373
bp_1200,822,N,0.6994,0.38,17.665,0.627,0.653,merge3,0.227,0.412,22313
bp_1400,822,N,0.7089,0.317,17.483,0.666,0.638,merge3,0.263,0.485,23154
bp_1600,822,N,0.7165,0.393,17.15,0.643,0.636,merge3,0.265,0.489,23625
bp_200,822,N,0.5627,0.383,13.761,0.597,0.607,merge3,0.258,0.461,13197
bp_400,822,N,0.5961,0.392,15.097,0.651,0.646,merge3,0.293,0.464,15238
bp_600,822,N,0.6174,0.398,16.315,0.642,0.641,merge3,0.256,0.47,16464
bp_800,822,N,0.671,0.41,16.782,0.663,0.66,merge3,0.292,0.467,20224
can_1054,1054,Y,0.5964,0.465,0.817,0.197,0.192,merge3,0.366,0.34,60248
can_1072,1072,Y,0.5881,0.493,1.077,0.196,0.218,merge3,0.339,0.335,62316
can_144,144,Y,3.4722,0.365,0.259,0.151,0.132,merge3,0.333,0.319,3456
can_161,161,Y,2.9667,0.349,0.28,0.143,0.151,merge3,0.332,0.302,3761
can_187,187,Y,2.3993,0.355,0.236,0.132,0.142,merge3,0.325,0.3,3719
can_229,229,Y,1.9126,0.365,0.271,0.165,0.187,merge3,0.326,0.309,5017
can_24,24,Y,15.9722,0.34,0.223,0.116,0.108,merge3,0.185,0.689,336
can_256,256,Y,2.42,0.383,1.858,0.211,0.212,merge3,0.282,0.344,18568
can_268,268,Y,2.3321,0.329,0.677,0.17,0.166,merge3,0.34,0.333,15590
can_292,292,Y,1.6607,0.387,0.517,0.15,0.16,merge3,0.343,0.334,11670
can_445,445,Y,1.0741,0.378,0.285,0.142,0.16,merge3,0.331,0.306,11193
can_61,61,Y,8.3042,0.357,0.343,0.115,0.11,merge3,0.297,0.307,1793
can_62,62,Y,3.642,0.436,0.205,0.115,0.121,merge3,0.164,0.265,482
can_634,634,Y,0.978,0.44,0.44,0.176,0.16,merge3,0.362,0.333,25446
can_715,715,Y,0.7218,0.454,1.758,0.384,0.38,merge3,0.391,0.39,39785
can_73,73,Y,4.2222,0.342,0.221,0.126,0.151,merge3,0.172,0.278,1377
can_838,838,Y,0.7724,0.47,0.81,0.181,0.174,merge3,0.359,0.342,51156
can_96,96,Y,4.6875,0.342,0.227,0.124,0.145,merge3,0.371,0.286,1920
