name,class,tag,n,A_nnz,h2d,csc,count,scan,expand,workest,compute,copy,sort,reduce,final,numeric,pack,d2h
bcspwr05,Highly sparse,outer,443,1623,0.08500000000003638,0.06299999999998818,0.019000000000005457,0.033999999999991815,0.016999999999939064,,,,0.1150000000000091,0.035000000000081855,0.05199999999990723,,0.01700000000005275,0.033999999999991815
bcspwr05,Highly sparse,colw,443,1623,0.08699999999998909,0.06399999999996453,0.019000000000005457,0.03300000000001546,0.01999999999998181,,,,0.10800000000006094,0.03499999999996817,0.04899999999997817,,0.01700000000005275,0.010999999999967258
bcspwr05,Highly sparse,inner,443,1623,0.07999999999992724,0.06200000000001182,0.018000000000029104,0.03300000000001546,0.017999999999915417,,,,0.10700000000008458,0.04099999999993997,0.04800000000000182,0.02400000000000091,0.01700000000005275,0.010999999999967258
bcsstk26,Highly sparse,cu,1922,30336,0.10599999999999454,,,,,0.06999999999993634,0.2880000000000109,0.06000000000005912,,,,,0.07699999999999818,0.16300000000001091
bcsstk26,Highly sparse,gust,1922,30336,0.09799999999995634,,0.02100000000007185,0.04200000000003001,0.13900000000001,,,,0.26899999999989177,0.17000000000007276,0.31100000000003547,,0.025999999999953616,0.07600000000002183
bcsstk26,Highly sparse,outer,1922,30336,0.09799999999995634,0.08300000000008367,0.019000000000005457,0.03599999999994452,0.12999999999999545,,,,0.26300000000003365,0.19200000000000728,0.19499999999993634,,0.02100000000007185,0.09199999999998454
bcsstk26,Highly sparse,colw,1922,30336,0.09799999999995634,0.08299999999996999,0.02100000000007185,0.03499999999996817,0.13800000000003365,,,,0.2740000000000009,0.16699999999991633,0.18200000000001637,,0.01999999999998181,0.07699999999999818
bcsstk26,Highly sparse,inner,1922,30336,0.09500000000002728,0.08999999999991815,0.02400000000000091,0.0340000000001055,0.13899999999989632,,,,0.26300000000003365,0.15899999999999181,0.18700000000001182,0.15999999999996817,0.026000000000067303,0.07600000000002183
bcsstk33,Highly sparse,cu,8738,591904,0.9569999999999936,,,,,0.23699999999996635,2.2730000000000246,0.17300000000000182,,,,,0.06499999999994088,1.3240000000000691
bcsstk33,Highly sparse,gust,8738,591904,1.2649999999999864,,0.08199999999999363,0.039000000000100954,0.6719999999999118,,,,5.569000000000074,0.5679999999999836,0.9969999999999573,,0.07200000000000273,0.7649999999999864
bcsstk33,Highly sparse,outer,8738,591904,0.6100000000000136,0.31399999999996453,0.020999999999958163,0.033999999999991815,0.5780000000000882,,,,5.483999999999924,0.5690000000000737,0.6609999999999445,,0.08400000000006003,0.7609999999999673
bcsstk33,Highly sparse,colw,8738,591904,0.5059999999999718,0.31500000000005457,0.028999999999996362,0.03499999999996817,0.6839999999999691,,,,5.426000000000045,0.5720000000000027,0.6449999999999818,,0.07200000000000273,0.7699999999999818
bcsstk33,Highly sparse,inner,8738,591904,0.5370000000000346,0.3170000000000073,0.027999999999906322,0.043000000000006366,0.7180000000000746,,,,5.543000000000006,0.5769999999999982,0.65199999999993,0.8940000000000055,0.07200000000000273,0.7590000000000146
bcsstm04,Highly sparse,cu,132,132,0.08600000000001273,,,,,0.06900000000007367,0.16800000000000637,0.053999999999973625,,,,,0.019000000000005457,0.024999999999977263
bcsstm04,Highly sparse,gust,132,132,0.07800000000008822,,0.019000000000005457,0.03999999999996362,0.019000000000005457,,,,0.04499999999995907,0.05000000000006821,0.056999999999902684,,0.019000000000005457,0.009000000000014552
bcsstm04,Highly sparse,outer,132,132,0.07599999999990814,0.07100000000002638,0.01999999999998181,0.033999999999991815,0.019000000000005457,,,,0.043000000000006366,0.04200000000003001,0.05200000000002092,,0.018000000000029104,0.009999999999990905
bcsstm04,Highly sparse,colw,132,132,0.07699999999999818,0.06299999999998818,0.017999999999915417,0.03600000000005821,0.016999999999939064,,,,0.04200000000003001,0.04600000000004911,0.049999999999954525,,0.018000000000029104,0.009999999999990905
bcsstm04,Highly sparse,inner,132,132,0.07800000000008822,0.06099999999992178,0.019000000000005457,0.03499999999996817,0.01700000000005275,,,,0.043000000000006366,0.033999999999991815,0.049999999999954525,0.02100000000007185,0.016999999999939064,0.009000000000014552
bcsstk15,Highly sparse,cu,3948,117816,0.1710000000000491,,,,,0.1449999999999818,0.75,0.17999999999994998,,,,,0.09400000000005093,0.7160000000000082
bcsstk15,Highly sparse,gust,3948,117816,0.1650000000000773,,0.02699999999992997,0.04500000000007276,0.17899999999997362,,,,0.7189999999999372,0.20300000000008822,0.47499999999990905,,0.08800000000007913,0.43099999999992633
bcsstk15,Highly sparse,outer,3948,117816,0.16700000000003,0.09999999999990905,0.02100000000007185,0.036999999999920874,0.16600000000005366,,,,0.7029999999999745,0.19000000000005457,0.3709999999999809,,0.1169999999999618,0.43200000000001637
