name,class,tag,n,A_nnz,h2d,csc,count,scan,expand,merge,compact,workest,compute,copy,sort,reduce,final,numeric,pack,d2h
bcspwr01,Mildly sparse,cu,39,131,0.10099999999999909,,,,,,,0.07000000000005002,0.15199999999992997,0.05300000000011096,,,,,0.017999999999915417,0.026000000000067303
bcspwr01,Mildly sparse,gust,39,131,0.09900000000004638,,0.029999999999972715,0.04399999999998272,0.020000000000095497,,,,,,0.045999999999935426,0.038000000000010914,0.05499999999994998,,0.018000000000029104,0.009999999999990905
bcspwr01,Mildly sparse,merge,39,131,0.09600000000000364,,0.022000000000048203,0.04100000000005366,0.01999999999998181,0.03099999999994907,0.03099999999994907,,,,,,0.04100000000005366,,0.019000000000005457,0.009999999999990905
bcspwr01,Mildly sparse,mrg2,39,131,0.09100000000000819,,0.01999999999998181,0.03899999999998727,,0.029999999999972715,0.02400000000000091,,,,,,0.03899999999998727,,0.022000000000048203,0.010999999999967258
can_96,Mildly sparse,cu,96,768,0.06100000000003547,,,,,,,0.045999999999935426,0.14400000000000546,0.05200000000002092,,,,,0.014999999999986358,0.024999999999977263
can_96,Mildly sparse,gust,96,768,0.06100000000003547,,0.016999999999939064,0.03499999999996817,0.019000000000005457,,,,,,0.10700000000008458,0.03499999999996817,0.047000000000025466,,0.014999999999986358,0.009000000000014552
can_96,Mildly sparse,merge,96,768,0.06399999999996453,,0.01700000000005275,0.033999999999991815,0.025999999999953616,0.04800000000000182,0.022000000000048203,,,,,,0.033999999999991815,,0.014000000000010004,0.010999999999967258
can_96,Mildly sparse,mrg2,96,768,0.057999999999992724,,0.016000000000076398,0.03899999999998727,,0.03599999999994452,0.020000000000095497,,,,,,0.028999999999996362,,0.01599999999996271,0.009000000000014552
arc130,Mildly sparse,cu,130,1282,0.06299999999998818,,,,,,,0.04899999999997817,0.1570000000000391,0.043000000000006366,,,,,0.014000000000010004,0.02800000000002001
arc130,Mildly sparse,gust,130,1282,0.06000000000005912,,0.01999999999998181,0.03300000000001546,0.03599999999994452,,,,,,0.1190000000000282,0.03499999999996817,0.05000000000006821,,0.014000000000010004,0.014999999999986358
arc130,Mildly sparse,merge,130,1282,0.05899999999996908,,0.01999999999998181,0.03499999999996817,0.1330000000000382,1.2269999999999754,0.01999999999998181,,,,,,0.033999999999991815,,0.014000000000010004,0.014000000000010004
arc130,Mildly sparse,mrg2,130,1282,0.057999999999992724,,0.01999999999998181,0.029999999999972715,,0.19200000000000728,0.020000000000095497,,,,,,0.028999999999996362,,0.013999999999896318,0.014000000000010004
ash85,Mildly sparse,cu,85,523,0.07200000000000273,,,,,,,0.049999999999954525,0.15200000000004366,0.05099999999993088,,,,,0.018000000000029104,0.025999999999953616
ash85,Mildly sparse,gust,85,523,0.06899999999995998,,0.020000000000095497,0.03799999999989723,0.02400000000000091,,,,,,0.11000000000001364,0.043000000000006366,0.05200000000002092,,0.02400000000000091,0.009999999999990905
ash85,Mildly sparse,merge,85,523,0.06899999999995998,,0.02100000000007185,0.03599999999994452,0.028999999999996362,0.053999999999973625,0.024999999999977263,,,,,,0.03700000000003456,,0.018000000000029104,0.009999999999990905
ash85,Mildly sparse,mrg2,85,523,0.06700000000000728,,0.019000000000005457,0.038000000000010914,,0.038000000000010914,0.023000000000024556,,,,,,0.033999999999991815,,0.019000000000005457,0.009999999999990905
can_73,Mildly sparse,cu,73,377,0.06099999999992178,,,,,,,0.04500000000007276,0.15300000000002,0.045999999999935426,,,,,0.016000000000076398,0.024999999999977263
can_73,Mildly sparse,gust,73,377,0.06000000000005912,,0.016999999999939064,0.033999999999991815,0.019000000000005457,,,,,,0.04399999999998272,0.033999999999991815,0.04900000000009186,,0.01599999999996271,0.009999999999990905
can_73,Mildly sparse,merge,73,377,0.06200000000001182,,0.016999999999939064,0.03300000000001546,0.023000000000024556,0.053999999999973625,0.020999999999958163,,,,,,0.03600000000005821,,0.020999999999958163,0.014000000000010004
can_73,Mildly sparse,mrg2,73,377,0.06499999999994088,,0.019000000000005457,0.035000000000081855,,0.03799999999989723,0.019000000000005457,,,,,,0.03300000000001546,,0.01700000000005275,0.009000000000014552
bcspwr02,Mildly sparse,cu,49,167,0.07600000000002183,,,,,,,0.057999999999992724,0.1550000000000864,0.06199999999989814,,,,,0.02100000000007185,0.023000000000024556
bcspwr02,Mildly sparse,gust,49,167,0.07900000000006457,,0.018000000000029104,0.049999999999954525,0.01999999999998181,,,,,,0.04600000000004911,0.03899999999998727,0.053999999999973625,,0.019000000000005457,0.010999999999967258
bcspwr02,Mildly sparse,merge,49,167,0.07299999999997908,,0.019000000000005457,0.038000000000010914,0.023000000000024556,0.03599999999994452,0.02400000000000091,,,,,,0.03999999999996362,,0.018000000000029104,0.010999999999967258
bcspwr02,Mildly sparse,mrg2,49,167,0.07899999999995089,,0.018000000000029104,0.03899999999998727,,0.029999999999972715,0.023000000000024556,,,,,,0.03499999999996817,,0.018000000000029104,0.011999999999943611
can_144,Mildly sparse,cu,144,1296,0.08100000000001728,,,,,,,0.06700000000000728,0.16399999999998727,0.05299999999999727,,,,,0.019000000000005457,0.03499999999996817
can_144,Mildly sparse,gust,144,1296,0.08500000000003638,,0.020999999999958163,0.043000000000006366,0.022000000000048203,,,,,,0.11499999999989541,0.04000000000007731,0.053999999999973625,,0.019000000000005457,0.011999999999943611
can_144,Mildly sparse,merge,144,1296,0.08199999999999363,,0.019000000000005457,0.03700000000003456,0.033999999999991815,0.07600000000002183,0.023000000000024556,,,,,,0.03999999999996362,,0.017999999999915417,0.012000000000057298
can_144,Mildly sparse,mrg2,144,1296,0.07899999999995089,,0.01700000000005275,0.03799999999989723,,0.038000000000010914,0.023000000000024556,,,,,,0.033999999999991815,,0.018000000000029104,0.013000000000033651
can_62,Mildly sparse,cu,62,218,0.05999999999994543,,,,,,,0.039000000000100954,0.13900000000001,0.03999999999996362,,,,,0.014000000000010004,0.024999999999977263
can_62,Mildly sparse,gust,62,218,0.057999999999992724,,0.01599999999996271,0.03499999999996817,0.01700000000005275,,,,,,0.04099999999993997,0.039000000000100954,0.045999999999935426,,0.014000000000010004,0.010999999999967258
can_62,Mildly sparse,merge,62,218,0.057999999999992724,,0.014999999999986358,0.03300000000001546,0.019000000000005457,0.03199999999992542,0.01999999999998181,,,,,,0.03300000000001546,,0.014000000000010004,0.009999999999990905
can_62,Mildly sparse,mrg2,62,218,0.05700000000001637,,0.01599999999996271,0.03200000000003911,,0.02699999999992997,0.01999999999998181,,,,,,0.02800000000002001,,0.013000000000033651,0.008000000000038199
can_161,Mildly sparse,cu,161,1377,0.08199999999999363,,,,,,,0.04800000000000182,0.13899999999989632,0.044000000000096406,,,,,0.014000000000010004,0.024999999999977263
can_161,Mildly sparse,gust,161,1377,0.07500000000004547,,0.017999999999915417,0.033999999999991815,0.019000000000005457,,,,,,0.11300000000005639,0.03499999999996817,0.047000000000025466,,0.014000000000010004,0.011999999999943611
can_161,Mildly sparse,merge,161,1377,0.07299999999997908,,0.01700000000005275,0.03199999999992542,0.028999999999996362,0.08699999999998909,0.020999999999958163,,,,,,0.03200000000003911,,0.014000000000010004,0.011000000000080945
can_161,Mildly sparse,mrg2,161,1377,0.07200000000000273,,0.016000000000076398,0.03199999999992542,,0.038000000000010914,0.01999999999998181,,,,,,0.02800000000002001,,0.014000000000010004,0.012000000000057298
bcsstk03,Mildly sparse,cu,112,640,0.06000000000005912,,,,,,,0.04099999999993997,0.1430000000000291,0.04200000000003001,,,,,0.014000000000010004,0.024999999999977263
