matrix,n,sym,density_pct,cu,Auto,Auto_choice,Ocean,opSparse,HSMU,dense,cnnz
bcsstk17,10974,Y,0.1825,2.167,0.672,hash,0.816,1.096,1.755,308.074,1406936
bcsstk18,11948,Y,0.0564,0.912,0.429,hash,0.456,1.226,1.237,395.802,713208
bcsstk19,817,Y,0.5745,0.383,0.138,merge3,0.314,0.747,0.311,0.602,18305
bcsstk20,485,Y,0.7695,0.287,0.14,merge3,0.217,1.275,0.318,0.379,5545
bcsstk21,3600,Y,0.1165,0.471,0.193,merge3,0.224,0.836,0.417,12.629,93072
bcsstk22,138,Y,2.1897,0.309,0.125,merge3,0.214,0.699,0.291,0.227,1552
bcsstk23,3134,Y,0.2459,0.618,0.252,merge3,0.362,1.276,0.416,8.849,220632
bcsstk24,3562,Y,0.6442,1.071,0.351,hash,0.518,1.349,0.773,12.503,446474
bcsstk25,15439,Y,0.0561,1.124,0.473,hash,0.471,1.31,1.498,856.745,1168919
bcsstk26,1922,Y,0.4366,0.426,0.168,merge3,0.306,0.826,0.417,2.671,92530
bcsstk27,1224,Y,1.914,0.6,0.281,merge3,0.431,0.864,0.549,1.124,138106
bcsstk28,4410,Y,0.5744,1.317,0.409,hash,0.677,1.484,1.917,21.995,596072
bcsstk29,13992,Y,0.1618,2.824,0.8,hash,0.964,2.13,1.767,630.543,1965686
bcsstk30,28924,Y,0.1239,8.574,3.215,hash,2.403,4.218,4.76,5512.64,8946070
bcsstk31,35588,Y,0.048,4.921,1.335,hash,1.162,2.182,2.439,10294.3,4713580
bcsstk32,44609,Y,0.0517,8.075,2.128,hash,1.789,2.971,3.472,20197.8,6819653
bcsstk33,8738,Y,0.3933,2.851,1.008,hash,1.433,1.454,1.705,156.406,2569536
bcsstm01,48,Y,2.0833,0.24,0.098,merge3,0.135,0.874,0.212,0.156,48
bcsstm02,66,Y,1.5152,0.233,0.083,merge3,0.135,0.649,0.215,0.166,66
bcsstm03,112,Y,0.8929,0.247,0.084,merge3,0.139,0.861,0.206,0.169,112
bcsstm04,132,Y,0.7576,0.24,0.086,merge3,0.14,0.575,0.214,0.178,132
bcsstm05,153,Y,0.6536,0.278,0.085,merge3,0.14,0.775,0.212,0.189,153
bcsstm06,420,Y,0.2381,0.243,0.087,merge3,0.142,0.616,0.226,0.289,420
bcsstm07,420,Y,2.1746,0.318,0.124,merge3,0.274,0.701,0.271,0.29,22972
bcsstm08,1074,Y,0.0931,0.249,0.092,merge3,0.143,0.777,0.227,0.721,1074
bcsstm09,1083,Y,0.0923,0.255,0.095,merge3,0.145,0.678,0.221,0.776,1083
bcsstm10,1086,Y,0.9826,0.358,0.162,merge3,0.393,0.585,0.294,0.724,54504
bcsstm11,1473,Y,0.0679,0.25,0.098,merge3,0.142,0.972,0.223,1.524,1473
bcsstm12,1473,Y,0.487,0.329,0.151,merge3,0.294,0.733,0.273,1.518,53615
bcsstm13,2003,Y,0.2984,0.451,0.285,merge3,0.377,1.326,0.468,3.081,90811
bcsstm19,817,Y,0.1224,0.244,0.091,merge3,0.142,0.536,0.219,0.553,817
bcsstm20,485,Y,0.2062,0.247,0.086,merge3,0.14,0.696,0.213,0.591,485
bcsstm21,3600,Y,0.0278,0.261,0.121,merge3,0.143,1.098,0.371,12.586,3600
bcsstm22,138,Y,0.7246,0.246,0.084,merge3,0.141,0.445,0.229,0.176,138
bcsstm23,3134,Y,0.0319,0.249,0.115,merge3,0.143,0.415,0.364,8.776,3134
bcsstm24,3562,Y,0.0281,0.249,0.12,merge3,0.144,0.76,0.368,12.36,3562
bcsstm25,15439,Y,0.0065,0.251,0.238,merge3,0.153,0.6,0.357,856.301,15439
bcsstm26,1922,Y,0.052,0.253,0.103,merge3,0.143,1.295,0.226,2.65,1922
bcsstm27,1224,Y,1.914,0.614,0.282,merge3,0.43,0.696,0.547,1.117,138106
blckhole,2132,Y,0.187,0.312,0.153,merge3,0.179,0.585,0.376,3.269,41546
bp_0,822,N,0.4848,0.255,0.278,hash,0.209,0.944,0.376,0.51,9384
bp_1000,822,N,0.6898,0.265,0.331,hash,0.224,0.838,0.413,0.511,21373
bp_1200,822,N,0.6994,0.259,0.341,hash,0.226,0.874,0.412,0.523,22313
bp_1400,822,N,0.7089,0.257,0.343,hash,0.227,0.767,0.499,0.519,23154
bp_1600,822,N,0.7165,0.259,0.346,hash,0.231,0.794,0.404,0.51,23625
bp_200,822,N,0.5627,0.259,0.293,hash,0.218,0.825,0.391,0.515,13197
bp_400,822,N,0.5961,0.263,0.309,hash,0.22,0.826,0.392,0.509,15238
bp_600,822,N,0.6174,0.258,0.318,hash,0.222,1.236,0.401,0.513,16464
bp_800,822,N,0.671,0.257,0.337,hash,0.221,0.533,0.406,0.519,20224
can_1054,1054,Y,0.5964,0.324,0.149,merge3,0.296,0.921,0.28,0.739,60248
can_1072,1072,Y,0.5881,0.322,0.152,merge3,0.294,1.075,0.271,0.85,62316
can_144,144,Y,3.4722,0.252,0.104,merge3,0.261,0.919,0.239,0.191,3456
can_161,161,Y,2.9667,0.256,0.11,merge3,0.264,1.104,0.252,0.204,3761
can_187,187,Y,2.3993,0.248,0.098,merge3,0.261,1.521,0.234,0.204,3719
can_229,229,Y,1.9126,0.252,0.115,merge3,0.263,0.738,0.24,0.235,5017
can_24,24,Y,15.9722,0.24,0.09,merge3,0.168,0.923,0.222,0.151,336
can_256,256,Y,2.42,0.257,0.153,merge3,0.288,0.599,0.283,0.288,18568
can_268,268,Y,2.3321,0.258,0.13,merge3,0.267,0.752,0.26,0.243,15590
can_292,292,Y,1.6607,0.256,0.108,merge3,0.275,0.846,0.256,0.514,11670
can_445,445,Y,1.0741,0.26,0.118,merge3,0.266,1.093,0.243,0.329,11193
can_61,61,Y,8.3042,0.239,0.1,merge3,0.259,1.184,0.244,0.167,1793
can_62,62,Y,3.642,0.234,0.094,merge3,0.166,0.833,0.217,0.161,482
can_634,634,Y,0.978,0.317,0.123,merge3,0.29,0.738,0.26,0.377,25446
can_715,715,Y,0.7218,0.326,0.254,merge3,0.313,0.936,0.299,0.526,39785
can_73,73,Y,4.2222,0.248,0.098,merge3,0.173,0.816,0.23,0.16,1377
can_838,838,Y,0.7724,0.32,0.129,merge3,0.288,0.951,0.262,0.531,51156
can_96,96,Y,4.6875,0.248,0.092,merge3,0.257,1.166,0.226,0.165,1920
