matrix,n,sym,density_pct,cu,Auto,Auto_choice,Ocean,opSparse,HSMU,dense,cublas,cnnz
1138_bus,1138,Y,0.2005,0.287,0.1030,merge3,0.19,0.701,0.24,0.781,0.583,11142
494_bus,494,Y,0.4426,0.245,0.0755,merge3,0.173,0.694,0.231,0.32,0.313,4062
662_bus,662,Y,0.3578,0.249,0.0832,merge3,0.256,0.826,0.23,0.484,0.415,6480
685_bus,685,Y,0.4192,0.299,0.1030,merge3,0.207,0.776,0.235,0.489,0.456,9337
arc130,130,N,7.5858,0.257,0.1239,merge3,0.348,1.064,0.343,0.214,0.338,15631
ash292,292,Y,1.466,0.257,0.1276,merge3,0.204,0.571,0.311,0.278,0.27,6042
ash85,85,Y,4.2076,0.302,0.1173,merge3,0.204,0.588,0.298,0.219,0.301,1317
bcspwr01,39,Y,5.5884,0.278,0.0909,merge3,0.197,0.816,0.218,0.166,0.255,275
bcspwr02,49,Y,4.4981,0.254,0.0771,merge3,0.162,0.753,0.28,0.17,0.252,403
bcspwr03,118,Y,2.133,0.246,0.0755,merge3,0.198,0.717,0.548,0.183,0.288,1270
bcspwr04,274,Y,1.2561,0.278,0.1076,merge3,0.2,0.952,0.341,0.235,0.326,4982
bcspwr05,443,Y,0.5264,0.325,0.0978,merge3,0.256,0.877,0.298,0.37,0.383,4249
bcspwr06,1454,Y,0.1597,0.289,0.1128,merge3,0.208,0.685,0.307,1.277,0.733,14110
bcspwr07,1612,Y,0.1431,0.287,0.1165,merge3,0.211,0.597,0.304,1.536,0.804,15684
bcspwr08,1624,Y,0.1455,0.286,0.1313,merge3,0.226,0.564,0.314,1.636,0.857,16916
